pair_id,source_item_num,confidence,verification_basis,pam_text,fil_text,english_gloss,note
extvoc_001,1,high,pld_corroborated,Mayap a abak pu.,Magandang umaga po.,Good morning.,Basic greeting; 'Mayap a abak' pattern seen throughout raw PLD Greetings text.
extvoc_002,2,high,pld_corroborated,Mayap a ugto pu.,Magandang tanghali po.,Good noon.,'Ugto' (noon) seen directly in raw PLD Greetings text this session already read ('Mayap a ugtu pu').
extvoc_003,3,high,pld_corroborated,Mayap a gatpanapun pu.,Magandang hapon po.,Good afternoon.,'Mayap a gatpanapun' pattern seen throughout raw PLD Greetings text.
extvoc_004,4,high,pld_corroborated,Mayap a bengi pu.,Magandang gabi po.,Good evening.,'Mayap a bengi' pattern seen throughout raw PLD Greetings text.
extvoc_005,5,high,dictionary_attested,Dakal a salamat pu.,Maraming salamat po.,Thank you very much.,
extvoc_007,7,medium,dictionary_attested,Alang anuman.,Walang anuman.,You're welcome.,'Alang' (none/without) + 'anuman' (anything); calque of the FIL phrase.
extvoc_008,8,medium,dictionary_attested,Usuk pu,Tuloy po kayo.,Please come in.,Using the attested 'Usuk pu'; 'Tulik pu' alternate not independently attested or corroborated.
extvoc_009,9,medium,dictionary_attested,Komusta kayu pu?,Kumusta po kayo?,How are you?,"Using 'Komusta kayu pu?' (Spanish-loanword 'komusta', attested); 'Mapanu kayu pu?' alternate not independently attested."
extvoc_017,17,medium,dictionary_attested,Mako na ku pu,Paalam na po.,Goodbye.,Using the first alternate; 'King ulian na ku pu' not independently checked.
extvoc_018,18,medium,dictionary_attested,Maligayang kebaitan!,Maligayang kaarawan!,Happy birthday!,Fills a gap this session's own PLD reading left unmatched -- PAM Utt_Greetings.txt slot 8 uses 'kebaitan' with no FIL counterpart found at the time; this document's birthday reading is plausible and uncontradicted.
extvoc_019,19,high,pld_corroborated,Nanu?,Ano?,What?,
extvoc_020,20,high,pld_corroborated,Ninu?,Sino?,Who?,
extvoc_021,21,high,pld_corroborated,Nukarin?,Saan? / Nasaan?,Where?,"Using 'Nukarin?', which matches this experiment's own confirmed pldpair_022/023 PAM text; 'Pukarin?' alternate not independently corroborated."
extvoc_022,22,medium,dictionary_attested,Kapilan?,Kailan?,When?,Root shared with 'capilanman' (whenever/always) seen in Iso_Time.txt.
extvoc_023,23,high,pld_corroborated,Obat? / Bakit?,Bakit?,Why?,'Obat' seen directly in the Iput-Ipot story dialogue this session already read.
extvoc_024,24,high,pld_corroborated,Makananu?,Paano?,How?,Matches 'Macananu' in this experiment's own pldpair_026 (spelling variant).
extvoc_025,25,medium,pld_corroborated,Isanu? / Isanung?,Alin?,Which?,'Insanu'/'Isanu' seen in Story-domain text (pldpair_020 region) in a 'what/which' sense.
extvoc_026,26,medium,dictionary_attested,Pilan?,Ilan?,How many?,
extvoc_027,27,medium,dictionary_attested,Magkanu? / Pilan ya?,Magkano?,How much?,
extvoc_028,28,medium,dictionary_attested,Kang ninu?,Nakanino? / Kanino?,Whose? / With whom?,Using the fully-attested-by-parts alternate; 'Kanganinu?' (fused form) not independently attested.
extvoc_033,33,medium,dictionary_attested,Nucarin ya ing kawi/susi ning bale?,Nakanino ang susi ng bahay?,Who has the house key? / Where is the key?,"Kept as-is (word-level alternate mid-sentence, not a substitutable substring): 'susi' (key) is attested, 'kawi' is not."
extvoc_034,34,high,dictionary_attested,Aku,Ako,I / Me,
extvoc_035,35,high,dictionary_attested,Ika / Ka,Ikaw / Ka,You (singular),
extvoc_036,36,high,pld_corroborated,Ya,Siya,He / She,3rd-person-singular 'ya' appears constantly throughout every PLD text read this session.
extvoc_037,37,medium,dictionary_attested,Kami,Kami,We (exclusive),
extvoc_038,38,high,pld_corroborated,Katamu / Tamu,Tayo,We (inclusive),'kecatamu'/'itamu' forms seen throughout the Letter-domain text.
extvoc_039,39,high,pld_corroborated,Kayu,Kayo,You (plural),'kayu' seen constantly throughout PLD text.
