mt_id,granularity,source_lang,target_lang,source_text,target_text,prompt_family,source_name_normalized,prompt_ordinal,source_recorded_speakers,target_recorded_speakers,quality_tier,source_name,source_archive,dataset_role,validation_status
pldmt_11968d0af1e0,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),balunbalunan,Iso,Iso_BodyParts.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_77e4c4179cca,word,pam,fil,Balbas,galáng-galáng,Iso,Iso_BodyParts.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_2061c84d53ae,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),palakingkingan,Iso,Iso_BodyParts.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1e352e06388e,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),sakong,Iso,Iso_BodyParts.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_2f50f7a8a8d4,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),buto,Iso,Iso_BodyParts.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_53f37532f262,phrase,pam,fil,Balat buntuc,palasingsingan,Iso,Iso_BodyParts.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_8743aa0d0c5a,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),alak-alakan,Iso,Iso_BodyParts.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_ba6bc63e1b0c,word,pam,fil,Lilitid,balunbalunan,Iso,Iso_BodyParts.txt,8,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_992c820fa6ea,word,pam,fil,tindaragul,talampakan,Iso,Iso_BodyParts.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_38d174a534a0,word,pam,fil,Bucung-bucung,galáng-galangán,Iso,Iso_BodyParts.txt,10,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_b8cad809bc42,word,pam,fil,Buldit,pilikmata,Iso,Iso_BodyParts.txt,11,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_26f205d454d8,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),bunganga,Iso,Iso_BodyParts.txt,12,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_3fed9570c403,word,pam,fil,palakingkingan,kalingkingan,Iso,Iso_BodyParts.txt,13,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_7065190ed029,word,pam,fil,Malingmingan,talampakan,Iso,Iso_BodyParts.txt,14,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_3dcfab4122d9,phrase,pam,fil,Cayucut (end of the spinal column at the buttocks),súso,Iso,Iso_BodyParts.txt,15,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_4e1e06fac9f5,word,pam,fil,Isku,itong,Iso,Iso_Educ.txt,1,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_6d5ba007e3a5,word,pam,fil,Casi,Maynila,Iso,Iso_Educ.txt,2,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_d55a5ac20d15,word,pam,fil,Pilanduc,itlog,Iso,Iso_Educ.txt,3,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_615a3a4c3e88,word,pam,fil,Rizal,Soliman,Iso,Iso_Educ.txt,4,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_280a54a4f9dc,word,pam,fil,Cacung,parang,Iso,Iso_Educ.txt,5,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_455f204e771a,word,pam,fil,Cailangan,nagulat,Iso,Iso_Educ.txt,6,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_a88dc70e3097,word,pam,fil,Gulisac,dumating,Iso,Iso_Educ.txt,7,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1455828b1c97,word,pam,fil,Pasibayung,Espanya,Iso,Iso_Educ.txt,8,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_d08f052ae505,word,pam,fil,Espana,noong,Iso,Iso_Educ.txt,9,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_51af96bb0ff9,word,pam,fil,Usman,nilang,Iso,Iso_Educ.txt,10,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_cea65cb7ed00,word,pam,fil,Meyakit,maraming,Iso,Iso_Educ.txt,11,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1d9946098a26,word,pam,fil,Anggang,minsan,Iso,Iso_Educ.txt,12,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_4ce51956f978,word,pam,fil,Pangaratang,tulad,Iso,Iso_Educ.txt,13,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_6da7ee4cfbba,word,pam,fil,Niti,dalawa,Iso,Iso_Educ.txt,14,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_5e555c9ec6ee,word,pam,fil,Pangaratang,Soliman,Iso,Iso_Educ.txt,15,70,83,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_026b7610fe52,word,pam,fil,Caluguran,bayaw,Iso,Iso_Kinship.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_1782e2699f40,phrase,pam,fil,Caca (matuang capatad),diko,Iso,Iso_Kinship.txt,2,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_dc092e4e5352,phrase,pam,fil,Caca (matuang capatad),madrasta,Iso,Iso_Kinship.txt,3,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_27b4e5927969,phrase,pam,fil,Cabit (querida),manugang,Iso,Iso_Kinship.txt,4,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_0fd47868fe95,word,pam,fil,Capusu,pamangkin,Iso,Iso_Kinship.txt,5,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_8c2c0c9a3b57,phrase,pam,fil,Cabit (querida),balo,Iso,Iso_Kinship.txt,6,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_d58c0687dd68,phrase,pam,fil,Tegauang lalaki,tiya,Iso,Iso_Kinship.txt,7,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_215a399163a2,word,pam,fil,Capalsintan,kamag-anak,Iso,Iso_Kinship.txt,8,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_699b26f46f2f,word,pam,fil,Manuyang,katambal,Iso,Iso_Kinship.txt,9,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_bc83bc4bcf05,phrase,pam,fil,Siping bale,manugang,Iso,Iso_Kinship.txt,10,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_7b1d4acc784b,word,pam,fil,Cacambal,kasintahan,Iso,Iso_Kinship.txt,11,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
pldmt_8426d5b71155,phrase,pam,fil,kabud (adv. immediately) -- kabud (adj. only),bakas-bakás (financial partnership-footprint),Iso,Iso_MinPairs.txt,1,70,109,medium,Philippine Languages Database aligned prompt inventory,1773845964108-up-dsp-pld.tar.gz,pld_prompt_aligned_mt_candidates,needs_alignment_review
