id,surface,boundaries,segmentation,n_boundaries,process,source_tier,provenance,freq_in_sources
kap-morph-0023,sinabi,1 3,s | in | abi,2,infixation,A_strong_silver,tierAB_silver,885
kap-morph-0028,lalaki,,lalaki,0,reduplication,B_moderate_silver,tierAB_silver,502
kap-morph-0034,naman,3,nam | an,1,suffixation,B_moderate_silver,tierAB_silver,421
kap-morph-0037,balayan,5,balay | an,1,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,406
kap-morph-0040,dalan,3,dal | an,1,suffixation,B_moderate_silver,tierAB_silver,383
kap-morph-0043,arapan,4,arap | an,1,suffixation,A_strong_silver,tierAB_silver,335
kap-morph-0044,maguing,3,mag | uing,1,prefixation,B_moderate_silver,tierAB_silver,329
kap-morph-0047,babai,,babai,0,reduplication,A_strong_silver,tierAB_silver,303
kap-morph-0048,mabilug,2,ma | bilug,1,prefixation,A_strong_silver,tierAB_silver,289
kap-morph-0050,pabustan,2 6,pa | bust | an,2,circumfixation,B_moderate_silver,tierAB_silver,263
kap-morph-0053,kapampangan,2 9,ka | pampang | an,2,circumfixation,B_moderate_silver,tierAB_silver,256
kap-morph-0054,manibat,3,man | ibat,1,prefixation,A_strong_silver,tierAB_silver,253
kap-morph-0058,makanian,,makanian,0,prefixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,234
kap-morph-0065,sabian,4,sabi | an,1,suffixation,A_strong_silver,tierAB_silver,208
kap-morph-0066,marawak,2,ma | rawak,1,prefixation,B_moderate_silver,tierAB_silver,203
kap-morph-0068,panaun,2,pa | naun,1,prefixation,A_strong_silver,tierAB_silver,187
kap-morph-0069,matulid,2,ma | tulid,1,prefixation,A_strong_silver,tierAB_silver,183
kap-morph-0071,binie,1 3,b | in | ie,2,infixation,A_strong_silver,tierAB_silver,180
kap-morph-0072,dewakan,5,dewak | an,1,suffixation,B_moderate_silver,tierAB_silver,179
kap-morph-0077,maragul,2,ma | ragul,1,prefixation,A_strong_silver,tierAB_silver,159
kap-morph-0078,meguing,3,meg | uing,1,prefixation,B_moderate_silver,tierAB_silver,152
kap-morph-0079,kekeng,,kekeng,0,reduplication,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,149
kap-morph-0080,manuknangan,3 9,man | uknang | an,2,prefixation+suffixation,B_moderate_silver,tierAB_silver,149
kap-morph-0082,depatan,5,depat | an,1,suffixation,B_moderate_silver,tierAB_silver,143
kap-morph-0083,kapakaluluan,2 10,ka | pakalulu | an,2,circumfixation,B_moderate_silver,tierAB_silver,143
kap-morph-0084,daptan,4,dapt | an,1,suffixation,B_moderate_silver,tierAB_silver,138
kap-morph-0086,purian,4,puri | an,1,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,132
kap-morph-0087,manatili,3,man | atili,1,prefixation,B_moderate_silver,tierAB_silver,127
kap-morph-0088,laman,3,lam | an,1,suffixation,B_moderate_silver,tierAB_silver,120
kap-morph-0090,katuliran,2 7,ka | tulir | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_manual_surface_map,116
kap-morph-0091,pasibayu,2,pa | sibayu,1,prefixation,B_moderate_silver,tierAB_silver,115
kap-morph-0092,marangle,2,ma | rangle,1,prefixation,B_moderate_silver,tierAB_silver,114
kap-morph-0093,kautusan,2 6,ka | utus | an,2,circumfixation,A_strong_silver,tierAB_silver,112
kap-morph-0095,sikanan,5,sikan | an,1,suffixation,A_strong_silver,tierAB_silver,110
kap-morph-0096,laban,3,lab | an,1,suffixation,B_moderate_silver,tierAB_silver,106
kap-morph-0097,panuanan,2 6,pa | nuan | an,2,circumfixation,A_strong_silver,tierAB_silver,106
kap-morph-0098,binili,1 3,b | in | ili,2,infixation,A_strong_silver,tierAB_silver,105
kap-morph-0099,dinatang,1 3,d | in | atang,2,infixation,A_strong_silver,tierAB_silver,102
kap-morph-0100,ingatan,5,ingat | an,1,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,102
kap-morph-0101,tuntunan,6,tuntun | an,1,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,102
kap-morph-0102,kawan,,kawan,0,suffixation,F_conflicts_with_reconciliation_evidence,tierF_user_user_monomorphemic,99
kap-morph-0103,panalangin,3,pan | alangin,1,prefixation,B_moderate_silver,tierAB_silver,99
kap-morph-0104,makananu,4,maka | nanu,1,prefixation,A_strong_silver,tierAB_silver,98
kap-morph-0106,kapurian,2 6,ka | puri | an,2,circumfixation,F_conflicts_with_reconciliation_evidence,tierF_user_auto_parse,94
kap-morph-0108,kasalanan,2 7,ka | salan | an,2,circumfixation,B_moderate_silver,tierAB_silver,93
