root	gloss_fil	pos	source
-an			Mirikitani p898 [unknown/low]
-en			Mirikitani p916 [unknown/low]
-in-			Mirikitani p920 [unknown/low]
-kit			Kapampangan-English-Pilipino wordlist p21 [unknown/low]
-kl-			Mirikitani p923 [unknown/low]
-lu			Mirikitani p935 [unknown/low]
-ng			Mirikitani p944 [unknown/low]
-um-			Mirikitani p966 [unknown/low]
-yu			Mirikitani p968 [unknown/low]
a		lig	SEED-FUNC
a-			Mirikitani p895 [unknown/low]
aba			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abak		V	PALI:a’bak
abaka		N	PALI:abaka
abala		V	PALI:abala’
abalu			Mirikitani p905 [unknown/low]
abat			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abating			Mirikitani p906 [unknown/low]
abayan			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abe		V	PALI:a’be
abente			Mirikitani p895 [unknown/low]
abias			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abirya			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abisu		V	PALI:abi’su
abit			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
ablas		V	PALI:ablas
abli			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abluk			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abo		N	PALI:abo’
abono		V	PALI:abo’no
abonu			Samson p16 [unknown/low]
aborsiun		noun	Samson p16 [dictionary_explicit/high]
abpa		verb	Samson p16 [unknown/low]
abpang		noun	Samson p16 [unknown/low]
abraham			Samson p16 [unknown/low]
abrasador			Samson p16 [unknown/low]
abrasadul			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abrazo		noun	Samson p16 [unknown/low]
abreviado			Samson p16 [unknown/low]
abreviasion		noun	Samson p16 [unknown/low]
abril		N	PALI:abri’l
abrilata			Samson p16 [dictionary_explicit/high]
abrisete			Samson p16 [dictionary_explicit/high]
absac		noun	Samson p16 [dictionary_explicit/high]
absang		V	PALI:absang
absi		V	PALI:-absi’q
absic			Samson p16 [unknown/low]
absik			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
absolusion		noun	Samson p17 [dictionary_explicit/high]
abstinensia		noun	Samson p17 [dictionary_explicit/high]
abtac		noun	Samson p17 [unknown/low]
abtung		verb	Samson p17 [unknown/low]
abu		V	PALI:abu’
abubut			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abugadu		V	PALI:abuga’du
abuhin			Samson p17 [unknown/low]
abukadu		N	PALI:abuka’du
abulud		V	PALI:abu’lud
abunadu			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abung		adjective	Samson p17 [unknown/low]
aburido			Samson p17 [dictionary_explicit/high]
aburl			Mirikitani p910 [unknown/low]
abusadu		V	PALI:abusa’du
abuso			Samson p17 [dictionary_explicit/high]
abusu			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abut		V	PALI:a’but
abut-abut			Samson p18 [AI_proposed/medium]
abwang			Kapampangan-English-Pilipino wordlist p1 [unknown/low]
abyas		N	PALI:abya’s
abye			Mirikitani p910 [unknown/low]
ac-cla		noun	Samson p19 [dictionary_explicit/high]
ac-clis		noun	Samson p19 [dictionary_explicit/high]
acata		N	PALI:aca’ta
acbac			Samson p18 [unknown/low]
acbag		noun	Samson p18 [dictionary_explicit/high]
acbe			Samson p18 [unknown/low]
acbung		noun	Samson p18 [dictionary_explicit/high]
acdac		noun	Samson p19 [dictionary_explicit/high]
acdal		noun-verb	Samson p19 [unknown/low]
acdilan		noun	Samson p19 [unknown/low]
acdug		noun	Samson p19 [unknown/low]
acdut		noun	Samson p19 [dictionary_explicit/high]
achara		noun	Samson p19 [dictionary_explicit/high]
achata			Samson p19 [dictionary_explicit/high]
aclamasion		noun	Samson p19 [unknown/low]
aclat		noun-verb	Samson p20 [unknown/low]
acli		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
aclug		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
acma		adjective	Samson p20 [unknown/low]
acmul			Samson p20 [unknown/low]
acmus			Samson p20 [dictionary_explicit/high]
acpa		noun-verb	Samson p20 [unknown/low]
acpac		verb	Samson p20 [unknown/low]
acpal			Samson p20 [dictionary_explicit/high]
acpas		verb	Samson p20 [unknown/low]
acsibal		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
acsidente		noun	Samson p19 [dictionary_explicit/high]
acta			Samson p20 [unknown/low]
actang		noun	Samson p20 [dictionary_explicit/high]
acting		noun-verb	Samson p20 [dictionary_explicit/high]
actividad		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
activista		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
activo		adjective	Samson p20 [unknown/low]
acto		noun (OCR: printed as 'ft.')	Samson p20 [dictionary_explicit/high]
actug			Samson p20 [dictionary_explicit/high]
actung		noun (OCR: printed as 'ft.')	Samson p20 [unknown/low]
ad-dia		noun	Samson p21 [unknown/low]
ad-dua		adjective	Samson p22 [unknown/low]
ad-duang			Samson p22 [unknown/low]
adelantadu		adjective	Samson p22 [unknown/low]
adelfa		noun	Samson p22 [unknown/low]
adi		V	PALI:-adi’q
adiaran		noun	Samson p22 [unknown/low]
adios			Samson p22 [unknown/low]
adisiotcho			Mirikitani p895 [unknown/low]
adisisais			Mirikitani p895 [unknown/low]
adjar-		V	PALI:adja’r-
