row_index,mt_id,granularity,source_text,target_text,prompt_family,score,category,note,tier
1,pldmt_11968d0af1e0,phrase,Cayucut (end of the spinal column at the buttocks),balunbalunan,Iso,0,no_correspondence,Cayucut=tailbone/coccyx (dictionary gloss) vs balunbalunan=gizzard; unrelated body part.,D_no_correspondence
2,pldmt_77e4c4179cca,word,Balbas,galáng-galáng,Iso,0,no_correspondence,Balbas=beard vs galang-galang=bracelet/anklet; unrelated.,D_no_correspondence
3,pldmt_2061c84d53ae,phrase,Cayucut (end of the spinal column at the buttocks),palakingkingan,Iso,0,no_correspondence,Cayucut=tailbone vs palakingkingan=pinky-finger area; unrelated.,D_no_correspondence
4,pldmt_1e352e06388e,phrase,Cayucut (end of the spinal column at the buttocks),sakong,Iso,0,no_correspondence,Cayucut=tailbone vs sakong=heel; unrelated.,D_no_correspondence
5,pldmt_2f50f7a8a8d4,phrase,Cayucut (end of the spinal column at the buttocks),buto,Iso,1,same_domain_wrong_specific,"Cayucut=tailbone vs buto=bone; tailbone is a bone, but not the specific match.",C_same_domain_wrong_specific
6,pldmt_53f37532f262,phrase,Balat buntuc,palasingsingan,Iso,0,no_correspondence,Balat buntuc=scalp vs palasingsingan=ring-finger area; unrelated.,D_no_correspondence
7,pldmt_8743aa0d0c5a,phrase,Cayucut (end of the spinal column at the buttocks),alak-alakan,Iso,0,no_correspondence,Cayucut=tailbone vs alak-alakan=Adam's apple; unrelated.,D_no_correspondence
8,pldmt_ba6bc63e1b0c,word,Lilitid,balunbalunan,Iso,0,no_correspondence,Lilitid=tendon/sinew vs balunbalunan=gizzard; unrelated.,D_no_correspondence
9,pldmt_992c820fa6ea,word,tindaragul,talampakan,Iso,0,no_correspondence,tindaragul (uncertain gloss) vs talampakan=sole of foot; no clear correspondence identified.,D_no_correspondence
10,pldmt_38d174a534a0,word,Bucung-bucung,galáng-galangán,Iso,1,same_domain_wrong_specific,"USER-CORRECTED (2026-08-25): Bucung-bucung=ankle (malleolus) in Kapampangan, but galang-galangan denotes the wrist in Filipino (ankle is bukung-bukong); originally mis-scored 3/correct_translation on a wrong claim about Tagalog vocabulary. Same body-joint domain, wrong specific joint.",C_same_domain_wrong_specific
11,pldmt_b8cad809bc42,word,Buldit,pilikmata,Iso,0,no_correspondence,Buldit (uncertain gloss) vs pilikmata=eyelash; no clear correspondence identified.,D_no_correspondence
12,pldmt_26f205d454d8,phrase,Cayucut (end of the spinal column at the buttocks),bunganga,Iso,0,no_correspondence,Cayucut=tailbone vs bunganga=mouth/gaping opening; unrelated.,D_no_correspondence
13,pldmt_3fed9570c403,word,palakingkingan,kalingkingan,Iso,3,correct_translation,"palakingkingan and kalingkingan both denote the pinky finger (kingking root, Kapampangan/Tagalog cognate pair).",A_correct_translation
14,pldmt_7065190ed029,word,Malingmingan,talampakan,Iso,0,no_correspondence,Malingmingan (uncertain gloss) vs talampakan=sole of foot; no clear correspondence identified.,D_no_correspondence
15,pldmt_3dcfab4122d9,phrase,Cayucut (end of the spinal column at the buttocks),súso,Iso,0,no_correspondence,Cayucut=tailbone vs suso=breast; unrelated.,D_no_correspondence
