canonical_id,lang_code,source_name_normalized,prompt_family,prompt_label,prompt_ordinal,canonical_text,granularity,observed_variants,recorded_speaker_count,not_recorded_count,placeholder_like
fil_8f3275ac13e3,FIL,Airlines.txt,Other,Airlines,1,Cotabato Airport,phrase,13,16,0,False
fil_826173e0d4b3,FIL,Airlines.txt,Other,Airlines,2,Ninoy Aquino International Airport,phrase,13,16,0,False
fil_f6b903b37af9,FIL,Airlines.txt,Other,Airlines,3,Tagbilaran Airport,phrase,14,16,0,False
fil_d3abd8ec7e52,FIL,Airlines.txt,Other,Airlines,4,Legazpi Airport,phrase,12,16,0,False
fil_aa59d585e8cf,FIL,Airlines.txt,Other,Airlines,5,Kalibo International Airport,phrase,11,16,0,False
fil_9c69b2c65bcf,FIL,Airlines.txt,Other,Airlines,6,Manila International Airport,phrase,3,3,0,False
fil_5b3f4832f450,FIL,Airlines.txt,Other,Airlines,7,Davao International Airport,phrase,3,3,0,False
fil_ddc0649b2f19,FIL,Airlines.txt,Other,Airlines,8,Pagadian Airport,phrase,3,3,0,False
fil_0da7d6e358eb,FIL,Airlines.txt,Other,Airlines,9,New Iloilo International Airport,phrase,2,3,0,False
fil_80839eb9ea65,FIL,Airlines.txt,Other,Airlines,10,Puerto Princesa International Airport,phrase,3,3,0,False
fil_ee41f9c2d4cc,FIL,Cities.txt,Other,Cities,1,Nueva Ecija,phrase,15,16,0,False
fil_a5e252537484,FIL,Cities.txt,Other,Cities,2,Manila,word,16,16,0,False
fil_bf73cdacc773,FIL,Cities.txt,Other,Cities,3,Laguna,word,16,16,0,False
fil_b8104998e830,FIL,Cities.txt,Other,Cities,4,Parañaque,word,15,16,0,False
fil_5ec9e7078f6f,FIL,Cities.txt,Other,Cities,5,Roxas,word,15,16,0,False
fil_5cbd6a70a155,FIL,Cities.txt,Other,Cities,6,Rizal,word,3,3,0,False
fil_22f30dc7c85b,FIL,Cities.txt,Other,Cities,7,Bayugan,word,3,3,0,False
fil_db23f04fb63d,FIL,Cities.txt,Other,Cities,8,Mandaluyong,word,3,3,0,False
fil_74ff1ed8e850,FIL,Cities.txt,Other,Cities,9,Taguig,word,3,3,0,False
fil_8dbcf26ea9be,FIL,Cities.txt,Other,Cities,10,Bogo,word,3,3,0,False
fil_8d03969d50af,FIL,Companies.txt,Other,Companies,1,Philippine Dealing Exchange,phrase,16,16,0,False
fil_42842b996ff0,FIL,Companies.txt,Other,Companies,2,Far Eastern University,phrase,14,16,0,False
fil_9ebc11188e58,FIL,Companies.txt,Other,Companies,3,Jollibee,word,15,16,0,False
