id,batch,kapampangan,filipino,correct,comment
rv_0001,1 - main (please do these first),Recess na.,Recess na,,
rv_0002,1 - main (please do these first),Nanung oras na?,Anong oras na?,,
rv_0003,1 - main (please do these first),Sige pu.,Sige po.,,
rv_0004,1 - main (please do these first),Mayalang galang na po.,Mawalang galang na po.,,
rv_0005,1 - main (please do these first),Salamat Doc,Salamat Dok,,
rv_0006,1 - main (please do these first),Maligayang pamamuge.,Maligayang pagbati.,,
rv_0007,1 - main (please do these first),Paumanhin pu.,Paumanhin po.,,
rv_0008,1 - main (please do these first),Pang-export na la rin ding papacbung ning Bulacan,Pang-export na rin ang mga paputok ng Bulacan,,
rv_0009,1 - main (please do these first),Salamat pu Doctor,Salamat po Doktor,,
rv_0010,1 - main (please do these first),Maligayang Pascu.,Maligayang Pasko.,,
rv_0011,1 - main (please do these first),Catlumpulu't limang,ikatatlumpu't limang,,
rv_0012,1 - main (please do these first),Bayaran ing utang.,Bayaran ang utang,,
rv_0013,1 - main (please do these first),Mitas na naman ing precio ning LPG,Tumaas na naman ang presyo ng LPG,,
rv_0014,1 - main (please do these first),Seventy six point eight percent ding Pinoy ding pacacalulu,Seventy-six point eight percent ng Pinoy ang mahirap,,
rv_0015,1 - main (please do these first),Ing pamakilaban contra terorismo,Ang paglaban kontra terorismo,,
rv_0016,1 - main (please do these first),Culayan yang malinis.,Kulayan nang malinis.,,
rv_0017,1 - main (please do these first),"Moody's, mababahala ya king utang ning NAPOCOR","Moody's, nababahala sa utang ng NAPOCOR",,
rv_0018,1 - main (please do these first),Pinalu ketang Enero ing produccion ning furnitures atbp.,Humataw nung Enero ang produksyon ng furnitures atbp.,,
rv_0019,1 - main (please do these first),Nucarin masakit?,Saan masakit?,,
rv_0020,1 - main (please do these first),Seli ne ning Petron ing Caltex LPG,Binili ng Petron ang Caltex LPG,,
rv_0021,1 - main (please do these first),Papatupad da ne ing programang Tele-OFW,Ipinapatupad na ang programang Tele-OFW,,
rv_0022,1 - main (please do these first),Mawawala wari ing gamit nang Ronald?,Nawawala ba ang gamit ni Ronald?,,
rv_0023,1 - main (please do these first),"Filipinu ya I James, o Americanu?","Pilipino si James, o Amerikano?",,
rv_0024,1 - main (please do these first),"Itang mapag-alinlangan, madalas yang malalacuan.","Yaong mapag-alinlangan, madalas mapagiwanan.",,
rv_0025,1 - main (please do these first),Estudyanti ya wari I Michael?,Estudyante ba si Michael?,,
rv_0026,1 - main (please do these first),Bayaran na ne ning gobierno ing PIATCO,Babayaran na ng gobyerno ang PIATCO,,
rv_0027,1 - main (please do these first),Pumila at mangan nang lelut.,Pumila na at kakain na ng lugaw.,,
rv_0028,1 - main (please do these first),"Samie Lim, miyalal yang bayung pamuntuc ning PCCI","Samie Lim, nahalal bilang bagong pangulo ng PCCI",,
rv_0029,1 - main (please do these first),Catlumpulu't apat,ikatatlumpu't apat,,
rv_0030,1 - main (please do these first),"Meyangu ya ing cayang laguiu cang Bernardo de Carpio, metung a matapang, bantug, maticdi, at maalamat a mandirigma king bansang Espania","Hinango ang kanyang pangalan kay Bernardo de Carpio, isang matapang, bantog, makisig, at maalamat na mandirigma sa bansang Espanya.",,
rv_0031,1 - main (please do these first),"Samantala, pagmaragul nang Neri a lalagu ing economia ning bansa.","Samantala, ipinagmalaki ni Neri na gumaganda ang ekonomiya ng bansa.",,
rv_0032,1 - main (please do these first),"I Micahel wari ing magcanta, o i James?","Si Michael ba ang kakanta, o si James?",,
rv_0033,1 - main (please do these first),Iti mecapaglista yang six point one percent,Ito'y nakapagtala ng six point one percent,,
rv_0034,1 - main (please do these first),Sisiguraduan na ning DFA ing pamipalaya caring biag a OFWs ning Nigeria,Siniguro ng DFA ang paglaya ng mga bihag na OFW sa Nigeria,,
rv_0035,1 - main (please do these first),"Inatasan neng PGMA ing TLRC, DOST a mitalacad planta ning VCO caring lalawigang dacal a ngungut","Inatasan ni PGMA ang TLRC, DOST na magtayo ng planta ng VCO sa mga lalawigang maraming niyog",,
rv_0036,1 - main (please do these first),Mangailangan yang piloto ing PAL,Nangangailangan ng mga piloto ang PAL,,
rv_0037,1 - main (please do these first),Sapuan ne ning gobierno ing cabilugang limang dalang bilyong pesus a utang ning NAPOCOR,Sasaluhin ng gobyerno ang kabuuang limang daang bilyong piso utang ng NAPOCOR,,
rv_0038,1 - main (please do these first),Metung a taus pusung pasasalamat!,Isang taus pusong pasasalamat!,,
rv_0039,1 - main (please do these first),Makipag-ugnayan ya ing Phil-export caring LGU para king proceso ning pamagnegocio,Nakikipag-ugnayan ang Phil-export sa mga LGU para sa proseso ng pagnenegosyo,,
rv_0040,1 - main (please do these first),Binabang one point five percent ing utang ning Filipinas king lual,Bumaba ng one point five percent ang utang ng Pilipinas sa labas,,
rv_0041,1 - main (please do these first),"Matalino ya man ing matsing, malolocu yamu rin.","Matalino man ang matsing, napaglalalangan din.",,
rv_0042,1 - main (please do these first),"Ing pabulang Japon, Saru kani kassen, o ing labanan ning matsing at ning alimango, a milathala king Bobunsha king Tokyo yapin ing makatuki:","Ang pabulang Hapon, Saru kani kassen, o ang labanan ng matsing at ng alimango, na inilathala ng Kobunsha sa Tokyo ay ang sumusunod :",,
rv_0043,1 - main (please do these first),Ing utang ning Filipinas mibaba,Ang utang ng Pilipinas ay bumaba,,
rv_0044,1 - main (please do these first),Pinurian ne ning APEC ing economia ning Filipinas,Pinuri ng APEC ang ekonomiya ng Pilipinas,,
rv_0045,1 - main (please do these first),Magtas yang singil ing Meralco,Magtataas ng singil ang Meralco,,
rv_0046,1 - main (please do these first),Macananu mewala ing gamit nang Michael?,Paano nawala ang gamit ni Michael?,,
rv_0047,1 - main (please do these first),Ninu king pamilya yu ing ating diabetis?,Sino sa pamilya ninyo ang may diabetes?,,
rv_0048,1 - main (please do these first),Binulusuc ing penakitan ning Del Monte Pacific,Bumulusok ang kita ng Del Monte Pacific,,
rv_0049,1 - main (please do these first),"Buung suporta ing babie ning DTI king pamipaunlad ding mitulduang OTOP ning Palawan, particular ing productong balubad","Buong suporta ang ibibigay ng DTI sa pagpapaunlad ng mga natukoy na OTOP ng Palawan, partikular ang produktong kasuy.",,
rv_0050,1 - main (please do these first),Imanuyut ning gobierno ning TUCP a magpatupad reporma ban macagauang obra,Hinimok ang gobyerno ng TUCP na magpatupad ng reporma para makalikha ng trabaho,,
rv_0051,1 - main (please do these first),"Macanian man, sinabi nang Robles ding apat a dayuhang cumpania a interesadung ponduan ing mesabing proyecto","Gayunman, sinabi ni Robles na apat na mga dayuhang kompanya ang interesadong pondohan ang naturang proyekto.",,
rv_0052,1 - main (please do these first),Catlumpulu't pitung,ikatatlumpu't pitong,,
rv_0053,1 - main (please do these first),Nucarin ya pu ing terminal ning bus?,Saan ho ang terminal ng bus?,,
rv_0054,1 - main (please do these first),Memie ya ing China a limang milyong pesus saup king Filipinas para king proyecto ning infrastructura,Nagbigay ang China ng limang milyong pisong tulong sa Pilipinas para sa proyekto ng imprastraktura,,
rv_0055,1 - main (please do these first),Ing milistang utang ding pampublikung sector five point five trilyong pesus,Ang naitalang utang ng mga pampublikong sektor ay five point five trilyong piso,,
rv_0056,1 - main (please do these first),Nanung masakit keca?,Anong masakit sayo?,,
rv_0057,1 - main (please do these first),Iti ausan deng �Pacto de Sangre� ning Aring Sikatuna at nang Legaspi a pecacatauan ning Ari ning Espana.,Ito'y siyang tinatawag na 'Pacto de Sangre' ng haring Sikatuna at ni Legaspi na pinakakatawanan ng hari sa Espana.,,
rv_0058,1 - main (please do these first),"Doctor ne I James, e wari? E wari?","Doktor na si James, hindi ba?Hindi ba?",,
rv_0059,1 - main (please do these first),Beba dang pasibayu ing precio ning LPG limampulung setimus cada kilo,Binabaan muli ang presyo ng LPG ng limampung sentimo kada kilo,,
rv_0060,1 - main (please do these first),"Agpang cang PGMA, tecnologia ing fundacion ning pamipaunlad ning economia ning bansa","Ayon kay PGMA, teknolohiya ang pundasyon ng pag-unlad ng ekonomiya ng bansa",,
rv_0061,1 - main (please do these first),Magdalang lapis.,Magdala ng lapis,,
rv_0062,1 - main (please do these first),Migprotesta la ding OFWs king Cotabato,Nagprotesta ang mga OFW sa Cotabato,,
rv_0063,1 - main (please do these first),Isinup para king produccion ning mais ing walung dalan libong pesus ipautang ning ADB king Filipinas,Ilalagak para sa produksyon ng mais ang walong daang libong pisong ipapautang ng ADB sa Pilipinas,,
rv_0064,1 - main (please do these first),Reforma king economia migresulta king pamibaba ning utang ning bansa,Mga reporma sa ekonomiya nagresulta ng pagbaba ng utang ng bansa,,
rv_0065,1 - main (please do these first),Linisan me ing CR.,Linisin mo ang CR.,,
rv_0066,1 - main (please do these first),Dinagsa la ding dayuhang capitalista a mamuhunan king bansa,Dumagsa ang mga dayuhang kapitalista na namumuhunan sa bansa.,,
rv_0067,1 - main (please do these first),Gumamit pu at opu.,Gumamit ng po at opo,,
rv_0068,1 - main (please do these first),Tinggap na neng PGMA ing resolucion ning PBC para caring programa king banuang aduang libu't pitu,Tinanggap na ni PGMA ang resolusyon ng PBC para sa mga programa sa taong dalawang libo't pito,,
