surface,conflict_type,candidate_root,existing_v2v4_root,user_verdict,user_correct_analysis,user_note
mamangan,existing_mismatch,mang,mangan,existing_correct,ma + mangan,"Existing root mangan (eat) is correct; candidate over-truncated to mang."
panintunan,existing_mismatch,nintun,intun,existing_correct,pan + intun + an,"Existing correctly identified root intun (search) and prefix pan-; candidate retained the assimilated nasal consonant in nintun."
magkailangan,existing_mismatch,kailang,kailangan,existing_correct,mag + kailangan,"Existing root kailangan is practical and correct; candidate artificially chopped off the final -an into kailang."
masikanan,existing_mismatch,sikan,masikan,candidate_correct,ma + sikan + an,"Candidate root sikan (strength) correctly isolates the root from prefix ma- and suffix -an; existing incorrectly treated masikan as the root."
manibatan,existing_mismatch,ibat,Manibat,candidate_correct,man + ibat + an,"Candidate root ibat (origin/from) accurately strips the prefix man-; existing failed to segment manibat."
kabaldugan,existing_mismatch,baldug,BALDUGAN,candidate_correct,ka + baldug + an,"Candidate root baldug (fall -> meaning) correctly isolates the root from circumfix ka- -an; existing missed the suffix."
pamisip,existing_mismatch,isip,MISIP,candidate_correct,pam + isip,"Candidate root isip (think) cleanly isolates the root from prefix pam-; existing preserved the active verb marker in MISIP."
mayumu,existing_mismatch,yumu,Mayu,candidate_correct,ma + yumu,"Candidate breakdown (yumu [sweetness] + ma-) is accurate per the user. Existing (Mayu + mu) is a hallucinated split."
tutula,existing_mismatch,tula,Tutu,candidate_correct,tu~ + tula,"Candidate breakdown (tula [joy] + tu~ reduplication) is accurate per the user. Existing (Tutu + la) is invalid."
pasbulan,existing_mismatch,sbul,pasbul,unclear_categorization,pasbul + an,"User listed this under 'Mutual Errors' but their own explanation (pasbul is a monomorphemic root; pasbulan is simply pasbul + -an) matches the EXISTING v2/v4 analysis exactly (root pasbul, segments pasbul + an) -- only the candidate's sbul is flagged as wrong. Recorded as-is pending clarification; likely existing_correct, not a mutual error."
pangane,existing_mismatch,gane,Panga,both_wrong,pangane (monomorphemic, cognate to Tagalog panganay = firstborn),"Both candidate (gane) and existing (panga + ne) hallucinate non-existent affixes; pangane is its own word."
pamanalastas,existing_mismatch,nalastas,manalastas,both_wrong,paman- + talastas,"Underlying root is talastas (with prefix pamaN-); both pipelines failed to undo nasal assimilation (nalastas vs manalastas), consistent with the reconciliation evidence found earlier (talastas is Forman/Bergano-attested, neither nalastas nor manalastas is)."
kakaluguran,existing_mismatch,kalugur,KALUGURAN,both_wrong,ka~ + (ka + lugud + an),"True root is lugud (love); kaluguran (friend) is derived from it, and kakaluguran (friends) applies ka~ pluralizing reduplication on top. Both pipelines stopped one level too shallow (kalugur / KALUGURAN) instead of reaching lugud."
pakiramdaman,existing_mismatch,kiramdam,PAKIRAMDAM,both_wrong,paki- + damdam/ramdam + -an,"Deepest root is damdam/ramdam (to feel); both kiramdam (candidate) and PAKIRAMDAM (existing) stopped shallower. Meaning: to sense/feel/observe someone or something subtly."
dinan,existing_mismatch,dan,Din,existing_correct_or_close,din/da + an,"User's root (din/da) is closer to the existing analysis (Din) than the candidate's (dan). Meaning: to give to someone; grant or bestow upon."
pakibatan,existing_mismatch,kibat,Pakibat,existing_correct,pakibat + an,"User's root (pakibat) matches the existing analysis exactly. Meaning: to answer or respond to someone."
kakalinguan,existing_mismatch,kalingu,kalinguan,existing_correct_or_close,ka~ + kalingwan,"User's root (kalingwan) matches the existing analysis (kalinguan, alternate spelling) closely. Meaning: tends to forget; frequently forgotten."
kakanan,existing_mismatch,kanan,kan,existing_correct,ka~ + kan + an,"User's root (kan/kain) matches the existing analysis (kan), not the candidate's (kanan). Meaning: eating / place where eating occurs / right side (Tagalog sense)."
maging,existing_mismatch,ging,ING,candidate_correct_or_close,m-/ma- + aging/ging,"User's root (aging/ging) is closer to the candidate's (ging) than the existing analysis's (ING). Meaning: to become; turn into."
makanyan,do_not_decompose,nyan,,both_wrong,ma- + kanyan,"User places the boundary differently from the candidate (ma- + kanyan, not maka- + nyan). Meaning: like that; in that manner; such."
minuna,do_not_decompose,muna,,both_wrong,m- + -in- + una,"True root is una (first); candidate's muna conflates the root with the infix. Meaning: ancestors/predecessors, those who went first."
lipulan,do_not_decompose,lipul,,candidate_correct,lipul + an,"Correctly identifies root lipul (destroy/exterminate); the do-not-decompose flag is a false positive here -- the dictionary likely also lists the derived form as its own headword."
malipul,do_not_decompose,lipul,,candidate_correct,ma + lipul,"Correctly identifies root lipul (destroy/exterminate); same false-positive pattern as lipulan."
gagalgal,do_not_decompose,galgal,,candidate_correct,ga~ + galgal,"Correctly identifies root galgal (tremble) with CV reduplication ga~."
dinuku,do_not_decompose,duku,,candidate_correct,d + in + uku,"Correctly identifies root duku (bow/stoop) with infix -in-."
ingatan,do_not_decompose,ngat,,candidate_partially_correct,ingat + an,"The do-not-decompose flag's caution was directionally right, but not for the reason the candidate row gives: the true root is ingat (care) as a whole, not ngat with a separate i- prefix. Candidate's i+ngat+an over-segments by one boundary."
parang,do_not_decompose,rang,,flag_correct,parang (monomorphemic),"Confirms the first round's finding: parang (meadow/field) is monomorphemic; treating rang as the root is invalid."
sintang,do_not_decompose,stang,,flag_correct,sintang (monomorphemic loan),"Monomorphemic root/loan (beloved); treating stang with infix -in- is completely artificial, per the user."
panenayan,do_not_decompose,nenay,,candidate_wrong_different_root,panaya-based derivation,"Root is panaya (wait); nenay is an artifact of prefixation and nasal assimilation the candidate mishandled."
camatayan,do_not_decompose,camatay,,candidate_wrong_different_root,ka + matay + an,"Root is matay/mate (die/death) with circumfix ka- -an (spelled ca- -an traditionally); candidate's root camatay fails to strip the ca- prefix."
kapasalamatan,do_not_decompose,pasalamat,,candidate_wrong_different_root,ka + salamat + an,"Root is salamat (thanks); pasalamat already includes the prefix pa-, so candidate's root claim fails to strip it."
balayan,do_not_decompose,balay,,candidate_correct,balay + an,Root is balai/balay (house/place); balay+-an = town/settlement.
makanian,do_not_decompose,nian,,flag_correct,makanian (monomorphemic),"Monomorphemic demonstrative/adverb (""like this""); nian is not a root."
kekeng,do_not_decompose,keng,,flag_correct,kekeng (monomorphemic),"Oblique possessive pronoun (""our/to us""); not a reduplication of preposition keng."
purian,do_not_decompose,puri,,candidate_correct,puri + an,Root is puri (praise).
katuliran,do_not_decompose,tulir,,candidate_wrong_different_root,ka + tulid + an,True root is tulid (straight/right); intervocalic /d/ shifts to /r/ before -an.
tuntunan,do_not_decompose,tuntun,,candidate_correct,tuntun + an,Root is tuntun (guide/follow).
kawan,do_not_decompose,kaw,,flag_correct,kawan (monomorphemic),Kawan (flock/herd) is monomorphemic; kaw is not a root.
kapurian,do_not_decompose,puri,,candidate_correct,ka + puri + an,Circumfix ka- -an + root puri = glory/praise.
tipan,do_not_decompose,tip,,flag_correct,tipan (monomorphemic),Tipan (covenant/agreement) is a monomorphemic headword; tip is invalid.
canaan,do_not_decompose,cana,,flag_correct,Canaan (proper name),"Biblical proper name, not analyzable Kapampangan morphology."
tumula,do_not_decompose,tula,,candidate_correct,t + um + ula,Root is tula (joy/happiness) with infix -um-.
angganan,do_not_decompose,anggan,,candidate_correct,anggan + an,Root is anggan (limit/boundary) + -an.
katapatan,do_not_decompose,tapat,,candidate_correct,ka + tapat + an,Root is tapat (loyal/faithful) + ka- -an.
maligaya,do_not_decompose,ligaya,,candidate_correct,ma + ligaya,Root is ligaya (joy) + ma-.
patayan,do_not_decompose,tayan,,candidate_wrong_different_root,patai/pate + an,Root is patai/pate (kill/die) + -an (slaughterhouse/killing site).
panimanman,do_not_decompose,nimanm,,candidate_wrong_different_root,pani- + manman,"Root is manman (observe) + prefix pani-; nimanm is a broken/garbled string, not a valid root."
kaligaligan,do_not_decompose,ligalig,,candidate_correct,ka + ligalig + an,Root is ligalig (trouble) + ka- -an.
matula,do_not_decompose,tula,,candidate_correct,ma + tula,Root is tula (joy/happy) + ma-.
pakalulu,do_not_decompose,kalulu,,candidate_partially_correct,paka-/pa- + kalulu,"Root kalulu (poor/pity) is correct; affix is paka- or pa-, ambiguous which."
tutung,do_not_decompose,tung,,flag_correct,tutung (monomorphemic),Monomorphemic noun (burnt rice at bottom of pot); tung is not a root.
mumuna,do_not_decompose,muna,,candidate_wrong_different_root,m/um- + una,"True root is una (first); verb formed via -um- infix/ma- prefix + una, not root muna."
maluka,do_not_decompose,luka,,candidate_correct,ma + luka,Root is luka (poor/miserable) + ma-.
linawe,do_not_decompose,lawe,,candidate_correct,l + in + awe,Root is lawe (look) + infix -in-.
mawala,do_not_decompose,wala,,candidate_correct,ma + wala,Root is wala (absent/lost) + ma-.
panayan,do_not_decompose,ayan,,candidate_wrong_different_root,panaya + an,Root is panaya (wait) + -an; ayan is not the root.
alipan,do_not_decompose,alip,,flag_correct,alipan (monomorphemic),Modern Kapampangan root is monomorphemic alipan (servant/slave).
panamdam,do_not_decompose,amdam,,candidate_wrong_different_root,paN- + damdam/ramdam,"Root is damdam/ramdam (feel) + prefix paN-; amdam is an assimilated fragment, invalid as root."
dinalung,do_not_decompose,dalung,,candidate_correct,d + in + alung,Root is dalung (appeal/complain) + infix -in-.
kagutgutan,do_not_decompose,gutgut,,candidate_correct,ka + gutgut + an,Root is gutgut (shred/chew) + ka- -an.
masampat,do_not_decompose,sampat,,candidate_correct,ma + sampat,Root is sampat (good/fine/pretty) + ma-.
tatang,do_not_decompose,tang,,flag_correct,tatang (monomorphemic),Monomorphemic nursery word (father/dad); confirms the first round's finding on this same word.
matuang,do_not_decompose,tuang,,candidate_wrong_different_root,ma + tua + -ng,Root is tua (age/old) + ma- + ligature -ng; tuang is not a root.
panata,do_not_decompose,nata,,flag_correct,panata (monomorphemic),Monomorphemic noun (vow/pledge); nata is not a root.
kapupusan,do_not_decompose,pupus,,candidate_correct,ka + pupus + an,Root is pupus (end/completion) + ka- -an.
kinagli,do_not_decompose,kagli,,candidate_correct,k + in + agli,Root is kagli (curdle/coagulate / pregnancy craving) + infix -in-.
makasumami,do_not_decompose,sumami,,candidate_correct,maka + sumami,Root is sumami (disgusting/revolting) + maka-.
payapa,do_not_decompose,yapa,,flag_correct,payapa (monomorphemic Tagalog loan),Tagalog loan monomorphemic root (payapa = peaceful).
mababa,do_not_decompose,baba,,candidate_correct,ma + baba,Root is baba (low) + ma-.
mangatas,do_not_decompose,atas,,candidate_correct,mang + atas,Root is atas (order/command) + mang-.
pastul,do_not_decompose,stul,,flag_correct,"pastul (Spanish loan, monomorphemic)",Spanish loan (pastor -> pastul); stul is phonotactically impossible as a root.
pilubluban,do_not_decompose,lublub,,candidate_correct,pi + lublub + an,Root is lublub (wallow/soak) + pi- -an.
mapaling,do_not_decompose,paling,,candidate_correct,ma + paling,Root is paling (heat/hot) + ma-.
matatag,do_not_decompose,tatag,,candidate_correct,ma + tatag,Root is tatag (firm/stable) + ma-.
kapalaran,do_not_decompose,palar,,candidate_wrong_different_root,ka + palad + an,True root is palad (fate/palm); intervocalic /d/ shifts to /r/ before -an.
malale,do_not_decompose,lale,,candidate_correct,ma + lale,Root is lale (slow/gentle) + ma-.
panamdaman,do_not_decompose,namdam,,candidate_wrong_different_root,pa + damdam + an,"Root is damdam (feel); namdam is an assimilated stem, not the underlying root."
pantas,do_not_decompose,ntas,,flag_correct,pantas (monomorphemic),Monomorphemic root (pantas = wise); ntas is invalid.
pengan,do_not_decompose,ngan,,candidate_wrong_different_root,pe- + pangan/mangan,Root is pangan/mangan (eat); ngan is an over-truncated fragment.
tinabi,do_not_decompose,tabi,,candidate_correct,t + in + abi,Root is tabi (chase away) + infix -in-.
ipasiag,do_not_decompose,siag,,candidate_correct,ipa + siag,Root is siag/pasiag (declare/express) + ipa-.
kapanamdaman,do_not_decompose,panamdam,,candidate_partially_correct,ka + panamdam + an,"Primary root is damdam (feel); panamdam is an intermediate nominal stem, not the deepest root."
capitan,do_not_decompose,capit,,flag_correct,"capitan (Spanish loan, monomorphemic)",Spanish loan (capitan); monomorphemic.
masias,do_not_decompose,sias,,candidate_correct,ma + sias,Root is sias (hard/firm) + ma-.
pibatan,do_not_decompose,batan,,candidate_wrong_different_root,pi- + bata + an,Root is bata (endure/bear) + -an (pibatan = endurance/patience); batan is not the root.
tatas,do_not_decompose,tas,,flag_correct,tatas (monomorphemic),Monomorphemic root (tatas = fluency/clarity of speech).
bamban,do_not_decompose,bamb,,flag_correct,bamban (monomorphemic),Monomorphemic root (plant name/place name).
linipul,do_not_decompose,lipul,,candidate_correct,l + in + ipul,Root is lipul (destroy/exterminate) + infix -in-.
makule,do_not_decompose,kule,,candidate_correct,ma + kule,Root is kule (color) + ma-.
paralaya,do_not_decompose,ralaya,,candidate_wrong_different_root,pa + alaya/dalaya,Root is alaya/dalaya (east/upstream) + directional pa-; ralaya is not the root.
sinira,do_not_decompose,sira,,candidate_correct,s + in + ira,Root is sira (destroy/damage) + infix -in-.
lumbe,do_not_decompose,lbe,,candidate_wrong_different_root,limbe/lumbe (monomorphemic-ish),Root is limbe/lumbe (wither/droop); lbe is phonotactically impossible as a root.
malagwa,do_not_decompose,lagwa,,candidate_correct,ma + lagwa,Root is lagwa (fast/quick) + ma-.
migising,do_not_decompose,ising,,candidate_wrong_different_root,mi-/mig- + gising,"Root is gising (awake); prefix is mi- or mig-, not mig- + ising."
maestro,do_not_decompose,estro,,flag_correct,"maestro (Spanish loan, monomorphemic)","Spanish loanword (maestro = teacher); monomorphemic, false split by candidate."
makalangan,do_not_decompose,lang,,candidate_wrong_different_root,maka- + alang/kalangan + an,Root is alang/kalangan (hindrance/obstacle); lang is an invalid fragment.
parusa,do_not_decompose,rusa,,candidate_wrong_different_root,pa- + dusa,Derived from root dusa (punishment/suffering) with intervocalic /d/ -> /r/.
