source_item_num,fil,pam,reason
16,Mag-ingat ka.,Mag-ingat ka. / Manganat ka.,Identical to the FIL phrase; low informational value as a translation pair. Alternate 'Manganat ka' has no attestation or corroboration.
87,Bunso,Bunsso / Anaktian,"'Anaktian' alternate is unattested. 'Bunsso' is now confirmed correct (moved to ACCEPTED, 2026-08-28) -- see item 87 in the accepted list below."
106,Ngipin,Gipang,"'Gipang' has zero hits in Forman, Bergano, or Samson (2011) full-text search (2026-08-28); confirmed unattested, not just suspected. 'ipan' is confirmed instead -- Forman (1971) p.62 uses it compositionally ('busbus ipan' = tooth cavity, lit. 'hole-tooth'), consistent with this reviewer's expectation."
109,Mukha,Lupa,"Internally contradicted by the same document's own item 145, which uses 'Lupa' for 'earth/ground' -- a far more linguistically plausible cognate meaning than 'face'."
112,Binti,Binti,"Confirmed wrong (2026-08-28), not just unattested: Bergano (1732, Samson translation) p.111 glosses 'BINTI' as 'Noun, Courage, manliness' -- unrelated to 'leg' entirely. Confirmed again by the Spanish-index cross-references on pp.476/498 ('Brio'/vigor and 'Esfuerzo'/effort both list 'Binti' as a Kapampangan equivalent). No dictionary evidence found anywhere for 'binti' meaning leg."
118,Kalingkingan,Palakingkingan,"Genuinely unresolved, not a settled conflict either way (updated 2026-08-28 after direct dictionary verification): 'kalingkingan' = little finger is confirmed correct (Forman 1971 p.69, direct gloss). But this session's own earlier claim that 'malingmingan' = pinky (pldpair_037, based on a shared '-lingking-' surface pattern with kalingkingan) was itself wrong -- Bergano's 1732 dictionary (Samson translation) p.266 glosses 'MALINGMINGAN' as 'the temples / sides of the head', not a finger at all; that pair was removed from build_matched_pairs.py. Neither 'palakingkingan' nor 'palasingsingan' (this document's and this experiment's respective claims for 'ring finger') appear anywhere in Forman, Bergano, or Samson (2011) -- a full-text search of all three found zero hits for either form. So which of ring/pinky 'palakingkingan' actually means remains unattested by any primary source available to this project; excluded pending better evidence, not because either specific claim is confirmed wrong."
141,Araw,Aldo,Redundant: same PAM word 'Aldo' as item 74 (already accepted).
142,Buwan,Bulan,Redundant: same PAM word 'Bulan' as item 80 (already accepted).
167,Tinda / Magbenta,Magsali / Magtinda,"The document's own 'Magsali' alternate for 'sell' contradicts its own item 166, which uses 'Sali'/'Sumali' for 'buy' -- likely a buy/sell mix-up. Accepted 'Magtinda' only (see ACCEPTED)."
181,Gwapo,Masanting,Redundant: same PAM word 'Masanting' as item 180 (already accepted as 'beautiful').
196,Bata,Anak,'Anak' is already used for 'child' (item 84); reusing it for the adjective 'young' conflates noun and adjective senses imprecisely. Not accepted as a distinct pair.
198,Mahina,Mahina,"Still unattested after direct verification (2026-08-28): the only full-text hit in the three dictionaries (Samson 2011 p.350) is a false positive -- 'mahina' as a substring inside 'imahinacion' (imagination, a Spanish loanword), not a real match. No genuine 'mahina' entry found in any of the three; stays excluded."
6,Tanggapin po ninyo ang aming taós-pusong pasasalamat!,Tanggapan ye pu ing kecaming taus-pusung pamipasalamat!,Near-duplicate of this experiment's own pldpair_002 -- differs only by a hyphen ('taus-pusung' vs 'taus pusung'). No new information.
201,Kasalukuyan,Salucuian / Kasalukuyan,Near-duplicate of this experiment's own pldpair_030 -- differs only by spelling ('Salucuian' vs 'Salucuiang'). No new information.
