item_num,pam_text,fil_text,n_tokens,n_attested,pct_attested,unattested_tokens
1,E ku linub king obra napun uling masakit ing pakiramdam ku.,Hindi ako pumasok sa trabaho kahapon dahil masama ang pakiramdam ko.,11,11,100.0,
2,E mu kalingwan patdan ing sulu bayu ka mako king bale.,Huwag mong kalimutang patayin ang ilaw bago ka umalis ng bahay.,11,11,100.0,
3,Ala nang melabing pamangan king lamesa para king hapunan.,Wala nang natirang pagkain sa mesa para sa hapunan.,9,8,88.9,melabing
4,Aliwa i Juan ing kinalap king salapi king bag nune ing kapatad na.,Hindi si Juan ang kumuha ng pera sa bag kundi ang kapatid niya.,13,12,92.3,kinalap
5,"Agang e ya mekibat king tawag, mituloy tana mu rin king planu tamu.","Kahit hindi siya sumagot sa tawag, tutuloy pa rin tayo sa ating plano.",13,12,92.3,mituloy
6,E pa miras ing order tamu ibat king online shop.,Hindi pa nakakarating ang order natin mula sa online shop.,10,10,100.0,
7,"Ali ya buri mangan gule inyang anak pa ya, pero mamangan na ya ngeni.","Ayaw niyang kumain ng gulay noong bata pa siya, pero kumakain na siya ngayon.",14,14,100.0,
8,Ali naman masakit ing pagsusulit nung meg-aral kang masanting.,Hindi naman mahirap ang pagsusulit kung nag-aral ka nang mabuti.,9,7,77.8,"pagsusulit, meg-aral"
9,Ala ku natanggap a mensahe ibat kaya kilub ning buung aldo.,Wala akong natanggap na mensahe mula sa kanya buong araw.,11,10,90.9,natanggap
10,E pa kumpleto ding dokumentong kailangan para king aplikasyon.,Hindi pa kumpleto ang mga dokumentong kailangan para sa aplikasyon.,9,7,77.8,"dokumentong, aplikasyon"
11,E ka sana mimwa nung e ku makadalo king party mu.,Huwag ka sanang magalit kung hindi ako makakadalo sa party mo.,11,10,90.9,makadalo
12,E ku akalain muran nang makantini kasikan ngening gatpanapun.,Hindi ko akalaing uulan nang ganito kalakas ngayong hapon.,9,7,77.8,"akalain, makantini"
13,Ala nang bakanteng luklukan king bus kaya tinalakad na kami mu.,Wala nang bakanteng upuan sa bus kaya tumayo na lang kami.,11,10,90.9,bakanteng
14,E tamu malyaring balewalain ing payo ning doktor.,Hindi natin pwedeng balewalain ang payo ng doktor.,8,7,87.5,balewalain
15,E pa rin tutuknang ing ingay ibat king sumangid bale.,Hindi pa rin tumitigil ang ingay mula sa kabilang bahay.,10,9,90.0,ingay
16,Ala siyang sinabing masakit laban keka.,Wala siyang sinabing masama laban sa iyo.,6,6,100.0,
17,E malyaring lumub king gusali nang alang identification card.,Hindi pwedeng pumasok sa gusali nang walang identification card.,9,8,88.9,lumub
18,Ali ya buri ning pusa ing makaligu kaya mabilis yang minulayi.,Ayaw ng pusa na naliligo kaya mabilis itong tumakbo.,11,9,81.8,"makaligu, minulayi"
19,E megpaliwa ing desisyon ning pamunuan tungkul king bayung patakaran.,Hindi nagbago ang desisyon ng pamunuan tungkol sa bagong patakaran.,10,8,80.0,"megpaliwa, desisyon"
20,Ala ka waring melabing gamit king kilub ning saskyan?,Wala ka bang naiwan na gamit sa loob ng sasakyan?,9,7,77.8,"melabing, saskyan"
21,E tamu balu ing resulta anggang e mayayari ing pamagsuri.,Hindi natin malalaman ang resulta hangga't hindi natatapos ang pagsusuri.,10,9,90.0,pamagsuri
22,E mu lalagpan nakabuklat ing gripo pagka-yari mung maghugas.,Huwag mong iiwang nakabukas ang gripo pagkatapos mong maghugas.,9,4,44.4,"lalagpan, nakabuklat, gripo, pagka-yari, maghugas"
23,E ku sigurado nung buklat ing bangko ngening Sabadu.,Hindi ako sigurado kung bukas ang bangko ngayong Sabado.,9,9,100.0,
24,Ala nang oras para magbalik pa tamu king bale.,Wala nang oras para bumalik pa tayo sa bahay.,9,9,100.0,
