surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
pabustan,circumfixation,pa+bust+an,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,,,
kapampangan,circumfixation,ka+pampang+an,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,kapampangan,,,
kapakaluluan,circumfixation,ka+pakalulu+an,kap+akal+uluan,kapakaluluan,kapakaluluan,kap+akal+uluan,kapakaluluan,kapakaluluan,ka+pakal+uluan,kapakaluluan,kapakaluluan,kapa+kalulu+an,kapakaluluan,kapakaluluan,kapa+kalulu+an,kapakaluluan,kapakaluluan,ka+pakalulu+an,kapakaluluan,kapakaluluan,kapa+kalulu+an,kapakaluluan,kapakaluluan,kapa+ka+lulu+an,kapakaluluan,kapakaluluan,ka+pakalulu+an,,,
katuliran,circumfixation,ka+tulir+an,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,katuliran,,,
kautusan,circumfixation,ka+utus+an,kautusan,kautusan,kautusan,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,ka+utus+an,kautusan,,,
panuanan,circumfixation,pa+nuan+an,pan+uanan,pan+uanan,panuanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,pan+uanan,panu+anan,panu+anan,panuanan,pan+uan+an,pan+uan+an,pan+uanan,panu+anan,panu+anan,panu+anan,pan+uanan,,,
kapurian,circumfixation,ka+puri+an,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapurian,kapuri+an,,,
kasalanan,circumfixation,ka+salan+an,kasalanan,kasalanan,kasalanan,kas+alanan,kas+alanan,kas+alanan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasal+anan,kasalanan,,,
pamangan,circumfixation,pa+mang+an,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,pamangan,,,
kaligtasan,circumfixation,ka+ligtas+an,kaligtasan,kaligtasan,kaligtasan,kal+ig+t+asan,kal+ig+t+asan,kalig+tasan,kal+ig+tas+an,kal+igtas+an,kal+igtas+an,kal+ig+tas+an,kal+igtas+an,kal+igtas+an,kal+ig+tasan,kal+ig+tasan,kalig+tasan,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,ka+ligtas+an,kaligtasan,,,
