id,source,surface,normalized,root,morph_segments,tokenizer_target,affixes,process,pos_guess,features,confidence,frequency_in_sources,context,notes
kap-morph-0001,literary,king,king,king,king,king,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,12262,Ketang misapwak ka keti [king] masala itang kakung Bungsu,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0002,literary,at,at,at,at,at,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,11738,keng daragul i Robin [at] mikakamale Daragul mu naman,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0003,literary,ing,ing,ing,ing,ing,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,11682,king kanakung pusu Uling [ing] kanakung paninap kanita biglang,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0004,literary,na,na,na,na,na,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,6536,mu naman ing kapanayan [na] ning maluka ming bye,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0005,literary,ning,ning,ning,ning,ning,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,6201,kung lalu Ing api [ning] lugud karing pamilya ku,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0006,literary,ding,ding,ding,ding,ding,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,5707,Ining keang koya t [ding] adwa nang atsi neng,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0007,literary,ya,ya,ya,ya,ya,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,4156,biglang mipaltutu A lalaki [ya] sa ing maging bungsu,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0008,literary,ku,ku,ku,ku,ku,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,3139,sa ing maging bungsu [ku] ba keng akalagyu Nung,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0009,literary,nang,nang,nang,nang,nang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,3094,koya t ding adwa [nang] atsi neng pakyalungan de,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0010,literary,mu,mu,mu,mu,mu,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,2776,Robin at mikakamale Daragul [mu] naman ing kapanayan na,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0011,literary,la,la,la,la,la,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,2296,yang memun kanitang mako [la] Papunta king Baguio ning,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0012,literary,karing,karing,karing,karing,karing,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,2106,Ing api ning lugud [karing] pamilya ku lakwas mikaluku,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0013,literary,nung,nung,nung,nung,nung,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1874,ku ba keng akalagyu [Nung] inya king kakung pamagsikap,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0014,literary,kekang,kekang,kekang,kekang,kekang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1819,bye ila pa ring [kekang] maranun agtalan Ninu mong,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0015,literary,metung,metung,metung,metung,metung,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1483,rugu alang mekasagip agyang [metung] mu man Nung ali,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0016,literary,ne,ne,ne,ne,ne,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1456,Ipakaisabi ku kayang e [ne] iabe ing ubingan Uling,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0017,literary,ka,ka,ka,ka,ka,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1297,Writings DYOS KO NUKARIN [KA] Ketang misapwak ka keti,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0018,literary,kang,kang,kang,kang,kang,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1280,Ibpa pota galang tin [Kang] buring sabyan binye Mung,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0019,literary,uling,uling,uling,uling,uling,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,1264,mipagyu king kanakung pusu [Uling] ing kanakung paninap kanita,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0020,literary,kakung,kakung,kakung,kakung,kakung,,function_word,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,944,keti king masala itang [kakung] Bungsu Itang kaligayan e,Kept unsplit to avoid false affix boundaries in tokenizer training.
kap-morph-0021,literary,ra,ra,ra,ra,ra,,clitic_or_function,PART/PRON/DET/PREP,closed_class; preserve_as_token,high,921,na t dalung e [ra] darandaman O Mayupang Dyos,Kept unsplit to avoid false affix boundaries in tokenizer training.
