row_index	score	category	note
1	0	no_correspondence	Cayucut=tailbone/coccyx (dictionary gloss) vs balunbalunan=gizzard; unrelated body part.
2	0	no_correspondence	Balbas=beard vs galang-galang=bracelet/anklet; unrelated.
3	0	no_correspondence	Cayucut=tailbone vs palakingkingan=pinky-finger area; unrelated.
4	0	no_correspondence	Cayucut=tailbone vs sakong=heel; unrelated.
5	1	same_domain_wrong_specific	Cayucut=tailbone vs buto=bone; tailbone is a bone, but not the specific match.
6	0	no_correspondence	Balat buntuc=scalp vs palasingsingan=ring-finger area; unrelated.
7	0	no_correspondence	Cayucut=tailbone vs alak-alakan=Adam's apple; unrelated.
8	0	no_correspondence	Lilitid=tendon/sinew vs balunbalunan=gizzard; unrelated.
9	0	no_correspondence	tindaragul (uncertain gloss) vs talampakan=sole of foot; no clear correspondence identified.
10	1	same_domain_wrong_specific	USER-CORRECTED (2026-08-25): Bucung-bucung=ankle (malleolus) in Kapampangan, but galang-galangan denotes the wrist in Filipino (ankle is bukung-bukong); originally mis-scored 3/correct_translation on a wrong claim about Tagalog vocabulary. Same body-joint domain, wrong specific joint.
11	0	no_correspondence	Buldit (uncertain gloss) vs pilikmata=eyelash; no clear correspondence identified.
12	0	no_correspondence	Cayucut=tailbone vs bunganga=mouth/gaping opening; unrelated.
13	3	correct_translation	palakingkingan and kalingkingan both denote the pinky finger (kingking root, Kapampangan/Tagalog cognate pair).
14	0	no_correspondence	Malingmingan (uncertain gloss) vs talampakan=sole of foot; no clear correspondence identified.
15	0	no_correspondence	Cayucut=tailbone vs suso=breast; unrelated.
16	0	no_correspondence	Isku (uncertain gloss) vs itong=this; no clear correspondence identified.
17	0	no_correspondence	Casi (uncertain gloss) vs Maynila=Manila; no clear correspondence identified, possibly noise.
18	0	no_correspondence	Pilanduc=mouse-deer (folklore animal) vs itlog=egg; unrelated.
19	0	no_correspondence	Rizal (proper name) vs Soliman (proper name); different historical entities, not a translation pair.
20	0	no_correspondence	Cacung (possessive form, "mine") vs parang=field/like; unrelated.
21	0	no_correspondence	Cailangan (resembles Tagalog "kailangan"=need) vs nagulat=was surprised; unrelated.
22	0	no_correspondence	Gulisac (uncertain gloss) vs dumating=arrived; no clear correspondence identified.
