surface,user_verdict,user_correct_analysis,method,boundaries,segmentation,note
alipan,flag_correct,alipan (monomorphemic),user_monomorphemic,,alipan,user: monomorphemic / loan / proper name -> zero-boundary row
angganan,candidate_correct,anggan + an,auto_parse,6,anggan | an,user analysis parsed and surface-reconstructs verbatim
balayan,candidate_correct,balay + an,auto_parse,5,balay | an,user analysis parsed and surface-reconstructs verbatim
bamban,flag_correct,bamban (monomorphemic),user_monomorphemic,,bamban,user: monomorphemic / loan / proper name -> zero-boundary row
camatayan,candidate_wrong_different_root,ka + matay + an,manual_surface_map,2 7,ca | matay | an,surface-mapped from the user's underlying analysis
canaan,flag_correct,Canaan (proper name),user_monomorphemic,,canaan,user: monomorphemic / loan / proper name -> zero-boundary row
capitan,flag_correct,"capitan (Spanish loan, monomorphemic)",user_monomorphemic,,capitan,user: monomorphemic / loan / proper name -> zero-boundary row
dinalung,candidate_correct,d + in + alung,auto_parse,1 3,d | in | alung,user analysis parsed and surface-reconstructs verbatim
dinuku,candidate_correct,d + in + uku,auto_parse,1 3,d | in | uku,user analysis parsed and surface-reconstructs verbatim
gagalgal,candidate_correct,ga~ + galgal,manual_surface_map,,gagalgal,surface-mapped from the user's underlying analysis
ingatan,candidate_partially_correct,ingat + an,auto_parse,5,ingat | an,user analysis parsed and surface-reconstructs verbatim
ipasiag,candidate_correct,ipa + siag,auto_parse,3,ipa | siag,user analysis parsed and surface-reconstructs verbatim
kabaldugan,candidate_correct,ka + baldug + an,auto_parse,2 8,ka | baldug | an,user analysis parsed and surface-reconstructs verbatim
kagutgutan,candidate_correct,ka + gutgut + an,auto_parse,2 8,ka | gutgut | an,user analysis parsed and surface-reconstructs verbatim
kakanan,existing_correct,ka~ + kan + an,manual_surface_map,5,kakan | an,surface-mapped from the user's underlying analysis
kaligaligan,candidate_correct,ka + ligalig + an,auto_parse,2 9,ka | ligalig | an,user analysis parsed and surface-reconstructs verbatim
kapalaran,candidate_wrong_different_root,ka + palad + an,manual_surface_map,2 7,ka | palar | an,surface-mapped from the user's underlying analysis
kapanamdaman,candidate_partially_correct,ka + panamdam + an,auto_parse,2 10,ka | panamdam | an,user analysis parsed and surface-reconstructs verbatim
kapasalamatan,candidate_wrong_different_root,ka + salamat + an,manual_surface_map,2 4 11,ka | pa | salamat | an,surface-mapped from the user's underlying analysis
kapupusan,candidate_correct,ka + pupus + an,auto_parse,2 7,ka | pupus | an,user analysis parsed and surface-reconstructs verbatim
kapurian,candidate_correct,ka + puri + an,auto_parse,2 6,ka | puri | an,user analysis parsed and surface-reconstructs verbatim
katapatan,candidate_correct,ka + tapat + an,auto_parse,2 7,ka | tapat | an,user analysis parsed and surface-reconstructs verbatim
katuliran,candidate_wrong_different_root,ka + tulid + an,manual_surface_map,2 7,ka | tulir | an,surface-mapped from the user's underlying analysis
kawan,flag_correct,kawan (monomorphemic),user_monomorphemic,,kawan,user: monomorphemic / loan / proper name -> zero-boundary row
kekeng,flag_correct,kekeng (monomorphemic),user_monomorphemic,,kekeng,user: monomorphemic / loan / proper name -> zero-boundary row
kinagli,candidate_correct,k + in + agli,auto_parse,1 3,k | in | agli,user analysis parsed and surface-reconstructs verbatim
linawe,candidate_correct,l + in + awe,auto_parse,1 3,l | in | awe,user analysis parsed and surface-reconstructs verbatim
linipul,candidate_correct,l + in + ipul,auto_parse,1 3,l | in | ipul,user analysis parsed and surface-reconstructs verbatim
lipulan,candidate_correct,lipul + an,auto_parse,5,lipul | an,user analysis parsed and surface-reconstructs verbatim
lumbe,candidate_wrong_different_root,limbe/lumbe (monomorphemic-ish),user_monomorphemic,,lumbe,user: monomorphemic / loan / proper name -> zero-boundary row
mababa,candidate_correct,ma + baba,auto_parse,2,ma | baba,user analysis parsed and surface-reconstructs verbatim
maestro,flag_correct,"maestro (Spanish loan, monomorphemic)",user_monomorphemic,,maestro,user: monomorphemic / loan / proper name -> zero-boundary row
magkailangan,existing_correct,mag + kailangan,auto_parse,3,mag | kailangan,user analysis parsed and surface-reconstructs verbatim
makanian,flag_correct,makanian (monomorphemic),user_monomorphemic,,makanian,user: monomorphemic / loan / proper name -> zero-boundary row
makanyan,both_wrong,ma- + kanyan,auto_parse,2,ma | kanyan,user analysis parsed and surface-reconstructs verbatim
makasumami,candidate_correct,maka + sumami,auto_parse,4,maka | sumami,user analysis parsed and surface-reconstructs verbatim
makule,candidate_correct,ma + kule,auto_parse,2,ma | kule,user analysis parsed and surface-reconstructs verbatim
malagwa,candidate_correct,ma + lagwa,auto_parse,2,ma | lagwa,user analysis parsed and surface-reconstructs verbatim
malale,candidate_correct,ma + lale,auto_parse,2,ma | lale,user analysis parsed and surface-reconstructs verbatim
