surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
kabukasan,"(flagship, no ref gold)",kabukasan,kab+u+kasan,kabu+kasan,kabukasan,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,,,
magpakalma,"(flagship, no ref gold)",magpakalma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma,,,
mekipagapir,"(flagship, no ref gold)",mekipagapir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+paga+pi+r,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pi+r,meki+paga+pi+r,meki+paga+pir,meki+pag+api+r,,,
misamban,"(flagship, no ref gold)",misamban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mi+samban,,,
pemalagyu,"(flagship, no ref gold)",pemalagyu,pem+alag+yu,pem+alag+yu,pem+alagyu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu,,,
sumulat,"(flagship, no ref gold)",sumulat,sum+ulat,sum+ulat,sumulat,sum+ulat,sum+ulat,sum+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,su+mu+lat,sumu+lat,sumu+lat,su+mu+lat,su+mu+lat,sumu+lat,su+mu+lat,sumu+lat,sumu+lat,sumul+at,,,
pabustan,circumfixation,pa+bust+an,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,,,
kaluguran,circumfixation,ka+lugur+an,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,,,
kailangan,circumfixation,ka+ilang+an,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,,,
kapulungan,circumfixation,ka+pulung+an,kap+ulungan,kap+ulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulungan,kap+ulungan,kapulungan,kapulungan,,,
kapalaran,circumfixation,ka+palar+an,kap+al+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,kapal+aran,kapal+aran,ka+pal+aran,ka+pal+aran,kapal+aran,ka+pala+ran,ka+pala+ran,ka+palaran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+la+ran,kapa+laran,ka+pala+ran,,,
kalaganapan,circumfixation,ka+laganap+an,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kal+agan+apan,kalagan+apan,kala+gan+apan,kala+gan+apan,kalagan+apan,ka+lag+ana+pan,ka+lag+ana+pan,ka+lag+ana+pan,kala+gan+apan,kala+gan+apan,kala+gan+apan,ka+lag+ana+p+an,ka+lag+anap+an,ka+lag+anap+an,ka+la+ganap+an,,,
sinabi,infixation,s+in+abi,sinabi,sinabi,sinabi,sin+abi,sin+abi,sin+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,s+in+abi,sinabi,,,
minuna,infixation,m+in+una,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,minuna,,,
kinuldas,infixation,k+in+uldas,kinul+das,kinul+das,kinuldas,kin+ul+das,kin+uldas,kin+uldas,kin+ul+das,kin+uldas,kin+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,k+in+ul+das,k+in+uldas,k+in+uldas,kin+uldas,,,
