item_num,category,kapampangan,filipino_tagalog,english_gloss,grammatical_feature_as_labeled,reviewer_verdict,reviewer_notes
1,Negation & Denial,E ku linub king obra napun uling masakit ing pakiramdam ku.,Hindi ako pumasok sa trabaho kahapon dahil masama ang pakiramdam ko.,I didn't go to work yesterday because I was feeling unwell.,,,
2,Negation & Denial,E mu kalingwan patdan ing sulu bayu ka mako king bale.,Huwag mong kalimutang patayin ang ilaw bago ka umalis ng bahay.,Don't forget to turn off the lights before you leave the house.,,,
3,Negation & Denial,Ala nang melabing pamangan king lamesa para king hapunan.,Wala nang natirang pagkain sa mesa para sa hapunan.,There is no food left on the table for dinner.,,,
4,Negation & Denial,Aliwa i Juan ing kinalap king salapi king bag nune ing kapatad na.,Hindi si Juan ang kumuha ng pera sa bag kundi ang kapatid niya.,"It was not Juan who took the money from the bag, but his sibling.",,,
5,Negation & Denial,"Agang e ya mekibat king tawag, mituloy tana mu rin king planu tamu.","Kahit hindi siya sumagot sa tawag, tutuloy pa rin tayo sa ating plano.","Even if he doesn't answer the call, we will still proceed with our plan.",,,
6,Negation & Denial,E pa miras ing order tamu ibat king online shop.,Hindi pa nakakarating ang order natin mula sa online shop.,Our order from the online shop hasn't arrived yet.,,,
7,Negation & Denial,"Ali ya buri mangan gule inyang anak pa ya, pero mamangan na ya ngeni.","Ayaw niyang kumain ng gulay noong bata pa siya, pero kumakain na siya ngayon.","She didn't like eating vegetables when she was young, but she eats them now.",,,
8,Negation & Denial,Ali naman masakit ing pagsusulit nung meg-aral kang masanting.,Hindi naman mahirap ang pagsusulit kung nag-aral ka nang mabuti.,The exam isn't really difficult if you studied well.,,,
9,Negation & Denial,Ala ku natanggap a mensahe ibat kaya kilub ning buung aldo.,Wala akong natanggap na mensahe mula sa kanya buong araw.,I didn't receive any message from him/her all day.,,,
10,Negation & Denial,E pa kumpleto ding dokumentong kailangan para king aplikasyon.,Hindi pa kumpleto ang mga dokumentong kailangan para sa aplikasyon.,The documents needed for the application are not complete yet.,,,
11,Negation & Denial,E ka sana mimwa nung e ku makadalo king party mu.,Huwag ka sanang magalit kung hindi ako makakadalo sa party mo.,Please don't be angry if I cannot attend your party.,,,
12,Negation & Denial,E ku akalain muran nang makantini kasikan ngening gatpanapun.,Hindi ko akalaing uulan nang ganito kalakas ngayong hapon.,I didn't expect it would rain this hard this afternoon.,,,
13,Negation & Denial,Ala nang bakanteng luklukan king bus kaya tinalakad na kami mu.,Wala nang bakanteng upuan sa bus kaya tumayo na lang kami.,"There were no empty seats left on the bus, so we just stood up.",,,
14,Negation & Denial,E tamu malyaring balewalain ing payo ning doktor.,Hindi natin pwedeng balewalain ang payo ng doktor.,We cannot ignore the doctor's advice.,,,
15,Negation & Denial,E pa rin tutuknang ing ingay ibat king sumangid bale.,Hindi pa rin tumitigil ang ingay mula sa kabilang bahay.,The noise from the neighboring house still hasn't stopped.,,,
16,Negation & Denial,Ala siyang sinabing masakit laban keka.,Wala siyang sinabing masama laban sa iyo.,He didn't say anything bad against you.,,,
17,Negation & Denial,E malyaring lumub king gusali nang alang identification card.,Hindi pwedeng pumasok sa gusali nang walang identification card.,You cannot enter the building without an identification card.,,,
18,Negation & Denial,Ali ya buri ning pusa ing makaligu kaya mabilis yang minulayi.,Ayaw ng pusa na naliligo kaya mabilis itong tumakbo.,"The cat dislikes taking a bath, so it ran away quickly.",,,
19,Negation & Denial,E megpaliwa ing desisyon ning pamunuan tungkul king bayung patakaran.,Hindi nagbago ang desisyon ng pamunuan tungkol sa bagong patakaran.,The management's decision regarding the new policy did not change.,,,
20,Negation & Denial,Ala ka waring melabing gamit king kilub ning saskyan?,Wala ka bang naiwan na gamit sa loob ng sasakyan?,Didn't you leave any belongings inside the vehicle?,,,
21,Negation & Denial,E tamu balu ing resulta anggang e mayayari ing pamagsuri.,Hindi natin malalaman ang resulta hangga't hindi natatapos ang pagsusuri.,We won't know the result until the assessment is finished.,,,
22,Negation & Denial,E mu lalagpan nakabuklat ing gripo pagka-yari mung maghugas.,Huwag mong iiwang nakabukas ang gripo pagkatapos mong maghugas.,Don't leave the tap running after you finish washing.,,,
23,Negation & Denial,E ku sigurado nung buklat ing bangko ngening Sabadu.,Hindi ako sigurado kung bukas ang bangko ngayong Sabado.,I'm not sure if the bank is open this Saturday.,,,
24,Negation & Denial,Ala nang oras para magbalik pa tamu king bale.,Wala nang oras para bumalik pa tayo sa bahay.,There is no more time for us to go back home.,,,
25,Negation & Denial,E a-atag matutunan ing bayung software king kilub mu ning panying aldo.,Hindi madaling matutunan ang bagong software sa loob lamang ng isang araw.,It is not easy to learn the new software in just one day.,,,
26,Varied Tense & Aspect,Kapangan ku pa mu inyang dumatang la ding bisita king bale.,Kakakain ko lang nang dumating ang mga bisita sa bahay.,I had just eaten when the guests arrived at the house.,,,
27,Varied Tense & Aspect,Maglutu ya i Ima king kusina kabang maglinis ya i Tatang king mula.,Nagluluto si Nanay sa kusina samantalang naglilinis si Tatay ng bakuran.,Mom is cooking in the kitchen while Dad is cleaning the yard.,,,
28,Varied Tense & Aspect,Muna kami king palengke bukas abak ban sumali king sariwang asan.,Pupunta kami sa palengke bukas nang maaga upang bumili ng sariwang isda.,We will go to the market early tomorrow to buy fresh fish.,,,
29,Varied Tense & Aspect,Yari da ne ing proyekto bayu pa man dumatang ing huling aldo ning submission.,Natapos na nila ang proyekto bago pa man dumating ang huling araw ng submission.,They had already finished the project before the submission deadline arrived.,,,
30,Varied Tense & Aspect,Kamako na pa mu ning bus inyang miras kami king terminal.,Kaaalis lang ng bus nang makarating kami sa terminal.,The bus had just left when we arrived at the terminal.,,,
31,Varied Tense & Aspect,Manalbe la pang telebisyon inyang bigla yang mepatda ing kuryente.,Nanonood sila ng telebisyon nang biglang mamatay ang kuryente.,They were watching television when the power suddenly went out.,,,
32,Varied Tense & Aspect,Gawan ku ing kakung takdang-aralin potang bengi pagka-yari ning hapunan.,Gagawin ko ang aking takdang-aralin mamayang gabi pagkatapos ng hapunan.,I will do my homework tonight after dinner.,,,
33,Varied Tense & Aspect,Mekaligu na i Ben bayu pa man dumatang ding kayang kaluguran.,Naligo na si Ben bago pa man dumating ang kanyang mga kaibigan.,Ben had already taken a bath before his friends arrived.,,,
34,Varied Tense & Aspect,"Kabang maglakad ku king dalan, mekapakit kung lumang larawan king labuad.","Habang naglalakad ako sa kalsada, nakakita ako ng lumang larawan sa lupa.","While I was walking on the street, I saw an old photo on the ground.",,,
35,Varied Tense & Aspect,Patuloy yang mag-aral i Maria para king kayang licensure exam ngening bulan.,Patuloy na nag-aaral si Maria para sa kanyang licensure exam ngayong buwan.,Maria continues to study for her licensure exam this month.,,,
36,Varied Tense & Aspect,Karas na pa mu ning ima ku ibat king makabang biyahe ibat probinsya.,Kakarating lang ng nanay ko mula sa mahabang biyahe galing probinsya.,My mother has just arrived from a long trip from the province.,,,
37,Varied Tense & Aspect,Sali kaming bayung laptop nung makakua na kaming bonus.,Bibili kami ng bagong laptop kapag nakakuha na kami ng bonus.,We will buy a new laptop once we receive our bonus.,,,
