item_num,section,fil,pam,eng,is_duplicate_of_existing_pair,pam_tokens_checked,all_tokens_attested,any_token_attested,token_detail
1,Greetings and Courtesies,Magandang umaga po.,Mayap a abak pu.,Good morning.,False,"mayap, a, abak, pu",True,True,mayap=attested; a=attested; abak=attested; pu=attested
2,Greetings and Courtesies,Magandang tanghali po.,Mayap a ugto pu.,Good noon.,False,"mayap, a, ugto, pu",False,True,mayap=attested; a=attested; ugto=NOT_FOUND; pu=attested
3,Greetings and Courtesies,Magandang hapon po.,Mayap a gatpanapun pu.,Good afternoon.,False,"mayap, a, gatpanapun, pu",True,True,mayap=attested; a=attested; gatpanapun=attested; pu=attested
4,Greetings and Courtesies,Magandang gabi po.,Mayap a bengi pu.,Good evening.,False,"mayap, a, bengi, pu",True,True,mayap=attested; a=attested; bengi=attested; pu=attested
5,Greetings and Courtesies,Maraming salamat po.,Dakal a salamat pu.,Thank you very much.,False,"dakal, a, salamat, pu",True,True,dakal=attested; a=attested; salamat=attested; pu=attested
6,Greetings and Courtesies,Tanggapin po ninyo ang aming taós-pusong pasasalamat!,Tanggapan ye pu ing kecaming taus-pusung pamipasalamat!,Please accept our heartfelt thanks!,False,"tanggapan, ye, pu, ing, kecaming, taus-pusung, pamipasalamat",True,True,tanggapan=attested; ye=attested; pu=attested; ing=attested; kecaming=attested; taus-pusung=attested; pamipasalamat=attested
7,Greetings and Courtesies,Walang anuman.,Alang anuman.,You're welcome.,False,"alang, anuman",True,True,alang=attested; anuman=attested
8,Greetings and Courtesies,Tuloy po kayo.,Tulik pu / Usuk pu.,Please come in.,False,"tulik, pu, usuk, pu",False,True,tulik=NOT_FOUND; pu=attested; usuk=attested; pu=attested
9,Greetings and Courtesies,Kumusta po kayo?,Komusta kayu pu? / Mapanu kayu pu?,How are you?,False,"komusta, kayu, pu, mapanu, kayu, pu",False,True,komusta=attested; kayu=attested; pu=attested; mapanu=NOT_FOUND; kayu=attested; pu=attested
10,Greetings and Courtesies,Ipagpaumanhin po ninyo ang aking pagkakamali.,Ipagpaumahin yu pu ing cacung pamagcamali.,Please forgive my mistake.,True,"ipagpaumahin, yu, pu, ing, cacung, pamagcamali",True,True,ipagpaumahin=attested; yu=attested; pu=attested; ing=attested; cacung=attested; pamagcamali=attested
11,Greetings and Courtesies,Tanggapin mo ang aking pakikiramay.,Tanggapan ye pu ing cacung pamakirame.,Please accept my condolences.,True,"tanggapan, ye, pu, ing, cacung, pamakirame",True,True,tanggapan=attested; ye=attested; pu=attested; ing=attested; cacung=attested; pamakirame=attested
12,Greetings and Courtesies,Ikinagagalak ko po kayong makilala.,Catutula cu pu ing akilala da cayu.,Glad to meet you.,True,"catutula, cu, pu, ing, akilala, da, cayu",False,True,catutula=NOT_FOUND; cu=attested; pu=attested; ing=attested; akilala=attested; da=attested; cayu=attested
