id,surface,normalized,root,morph_segments,affixes,process,original_confidence,reconstruction_ok,root_in_v2_lexicon,root_in_secondary_lexicon,reconciliation_root_tier,affix_recognized,in_known_function_word_list,reconciliation_conflict,reconciliation_conflict_reason,tier
kap-morph-0001,king,king,king,king,,function_word,high,True,True,True,strong,,True,False,,A_strong_silver
kap-morph-0002,at,at,at,at,,function_word,high,True,True,True,strong,,True,False,,A_strong_silver
kap-morph-0003,ing,ing,ing,ing,,function_word,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0004,na,na,na,na,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0005,ning,ning,ning,ning,,function_word,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0006,ding,ding,ding,ding,,function_word,high,True,False,False,strong,,True,False,,A_strong_silver
kap-morph-0007,ya,ya,ya,ya,,clitic_or_function,high,True,True,True,strong,,True,False,,A_strong_silver
kap-morph-0008,ku,ku,ku,ku,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0009,nang,nang,nang,nang,,function_word,high,True,True,False,strong,,False,False,,B_moderate_silver
kap-morph-0010,mu,mu,mu,mu,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0011,la,la,la,la,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0012,karing,karing,karing,karing,,function_word,high,True,False,True,weak,,False,False,,B_moderate_silver
kap-morph-0013,nung,nung,nung,nung,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0014,kekang,kekang,kekang,kekang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0015,metung,metung,metung,metung,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0016,ne,ne,ne,ne,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0017,ka,ka,ka,ka,,clitic_or_function,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0018,kang,kang,kang,kang,,function_word,high,True,True,False,weak,,True,False,,A_strong_silver
kap-morph-0019,uling,uling,uling,uling,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0020,kakung,kakung,kakung,kakung,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0021,ra,ra,ra,ra,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0022,keka,keka,keka,keka,,function_word,high,True,True,False,weak,,False,False,,B_moderate_silver
kap-morph-0023,sinabi,sinabi,sabi,s+in+abi,-in-,infixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0024,karelang,karelang,karelang,karelang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0025,iti,iti,iti,iti,,function_word,high,True,True,False,strong,,False,False,,B_moderate_silver
kap-morph-0026,dapot,dapot,dapot,dapot,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0027,no,no,no,no,,clitic_or_function,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0028,lalaki,lalaki,laki,la~laki,la~,reduplication,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0029,karin,karin,karin,karin,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0030,kanaku,kanaku,kanaku,kanaku,,function_word,high,True,True,False,weak,,False,False,,B_moderate_silver
kap-morph-0031,kanakung,kanakung,kanakung,kanakung,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0032,keng,keng,keng,keng,,function_word,high,True,False,False,weak,,True,False,,A_strong_silver
kap-morph-0033,bang,bang,bang,bang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0034,naman,naman,nam,nam+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0035,ika,ika,ika,ika,,function_word,high,True,True,True,strong,,True,False,,A_strong_silver
kap-morph-0036,karela,karela,karela,karela,,function_word,high,True,True,False,weak,,False,False,,B_moderate_silver
kap-morph-0037,balayan,balayan,balay,balay+an,-an,suffixation,medium,True,False,False,strong,True,False,True,reconciliation found this exact surface independently attested as its own dictionary headword with no source evidence supporting further decomposition (do_not_promote_without_root_evidence),F_conflicts_with_reconciliation_evidence
kap-morph-0038,inya,inya,inya,inya,,function_word,high,True,False,True,strong,,False,False,,B_moderate_silver
kap-morph-0039,ko,ko,ko,ko,,function_word,high,True,True,False,weak,,False,False,,B_moderate_silver
kap-morph-0040,dalan,dalan,dal,dal+an,-an,suffixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0041,de,de,de,de,,clitic_or_function,high,True,False,True,strong,,False,False,,B_moderate_silver
kap-morph-0042,itang,itang,itang,itang,,function_word,high,True,False,False,weak,,False,False,,B_moderate_silver
kap-morph-0043,arapan,arapan,arap,arap+an,-an,suffixation,medium,True,True,True,strong,True,False,False,,A_strong_silver
kap-morph-0044,maguing,maguing,uing,mag+uing,mag-,prefixation,medium,True,False,False,weak,True,False,False,,B_moderate_silver
kap-morph-0045,kanita,kanita,kanita,kanita,,function_word,high,True,True,False,strong,,True,False,,A_strong_silver
kap-morph-0046,aku,aku,aku,aku,,function_word,high,True,True,True,strong,,False,False,,B_moderate_silver
kap-morph-0047,babai,babai,bai,ba~bai,ba~,reduplication,medium,True,False,False,strong,True,False,False,,A_strong_silver
