unit,pam_text,fil_text,emb_cosine,token_jaccard,char3_cosine,length_ratio,mutual_best,blended_score,reviewer_verdict,reviewer_notes
Iso_Weather.txt,La Nina,La Nina,1.0,1.0,1.0,1.0,True,1.05,Accept,Exact match
Iso_Weather.txt,El Nino,El Nino,1.0,1.0,1.0,1.0,True,1.05,Accept,Exact match
Utt_CommonExpressions.txt,Maligayang bati pu.,Maligayang bati po.,0.9862,0.5,0.8421,1.0,True,0.9259,Accept,Verified via dictionary alignment & score
Utt_Educ.txt,Recess na.,Recess na,0.7923,1.0,0.8433,1.0,True,0.9097,Accept,Verified via dictionary alignment & score
Utt_CommonExpressions.txt,Nanung oras na?,Anong oras na?,0.9616,0.5,0.7143,1.0,True,0.8984,Accept,Verified via dictionary alignment & score
Utt_Educ.txt,Nanung oras na?,Anong oras na?,0.9616,0.5,0.7143,1.0,True,0.8984,Accept,Verified via dictionary alignment & score
Utt_CommonExpressions.txt,Sige pu.,Sige po.,0.9895,0.3333,0.625,1.0,True,0.8729,Accept,Verified via dictionary alignment & score
Utt_Greetings.txt,Mayalang galang na po.,Mawalang galang na po.,0.8636,0.6,0.8333,1.0,True,0.8715,Accept,Verified via dictionary alignment & score
Utt_Medical.txt,Salamat Doc,Salamat Dok,0.9402,0.3333,0.8182,1.0,True,0.8626,Accept,Verified via dictionary alignment & score
Utt_Greetings.txt,Maligayang pamamuge.,Maligayang pagbátì.,0.9703,0.3333,0.6156,1.0,True,0.8604,Accept,Verified via dictionary alignment & score
Utt_Greetings.txt,Paumanhin pu.,Paumanhin po.,0.9436,0.3333,0.7692,1.0,True,0.8598,Accept,Verified via dictionary alignment & score
Utt_News.txt,Pang-export na la rin ding papacbung ning Bulacan,Pang-export na rin ang mga paputok ng Bulacan,0.9317,0.3846,0.6441,1.0,True,0.8503,Accept,Verified via dictionary alignment & score
Utt_Medical.txt,Salamat pu Doctor,Salamat po Doktor,0.9906,0.2,0.6471,1.0,True,0.8491,Accept,Verified via dictionary alignment & score
