entry_id,english_word,kapampangan_word,part_of_speech,semantic_note,example_english,example_kapampangan,example_split_status,eng_headword_in_example_exact,kap_headword_in_example_exact,source_name,source_url_en_kap,source_url_kap_en,dataset_role,quality_tier,validation_status
polyapi_513b43fc7831,abaca,abaka,,,,,api_lookup_only,False,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
polyapi_411a32eaf566,ash,abú,,,,,api_lookup_only,False,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
polyapi_ab7edaa93a6b,friend,abe,,,,,api_lookup_only,False,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
polyapi_37346292774f,reach,ábut,,,,,api_lookup_only,False,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
polyapi_0a73e6d546f5,absent,absi,adjective,,He was absent from school yesterday.,Miwala ya king escuela kahapon.,api_example_pair,True,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,low,needs_linguist_review
poly_e9eac4a4c07c,bad,marok,adjective,of low quality,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_4904627c84fe,beautiful,masanting,adjective,pleasing to look at,The flower is beautiful.,Masanting ing bulaklak.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_35398d70f908,big,maragul,adjective,of large size,Their house is big.,Maragul ing bale da.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_63dc260a50d5,black,maitim,adjective,the darkest color,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_3472c19f38bc,blue,asul,adjective,the color of the clear sky,The sky is blue.,Asul ing langit.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_fcdc865ff94c,cold,malamig,adjective,having low temperature,The water is cold.,Malamig ing danum.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_8b43e82a4853,easy,madali,adjective,not difficult,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_52ccd7101369,empty,alang laman,adjective,containing nothing,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_4333c76d7463,fast,mabilis,adjective,moving quickly,The car is fast.,Mabilis ing kotse.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_0f8ba1e1cf4d,free,libri,adjective,not constrained or costing nothing,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_64236f8cf2cf,full,apun,adjective,containing as much as possible,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_d3e4c3d14c53,good,mayap,adjective,of high quality,This food is good.,Mayap ing pagkaen a iti.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_4624ced04f1d,green,berde,adjective,the color of grass,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_374ccd846005,happy,masaya,adjective,feeling joy,She feels happy today.,Masaya ya ngeni.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_4cce11c1b1dc,hard,mahirap,adjective,difficult or solid,This work is hard.,Mahirap ing obrang iti.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_cfe5aa90a95d,high,matas,adjective,great in vertical extent,The mountain is high.,Matas ing bunduk.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_8234532cf7a8,hot,mainit,adjective,having high temperature,The tea is hot.,Mainit ing tsa.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_972bebf43eec,important,importante,adjective,of great significance,This book is important.,Importante ing libru a iti.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
polyapi_e687df2f12b8,long,abad,adjective,,The road is very long.,Maliñga ing dalan.,api_example_pair,True,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,low,needs_linguist_review
poly_ddbee128bcc2,long,mabayat,adjective,of great length,The road is long.,Mabayat ing dalan.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_8ccbe814b445,low,mababa,adjective,small in vertical extent,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_69b2cf0ee2b9,new,bayu,adjective,recently made or arrived,I have a new book.,Atin kung bayung libru.,overlap_split,True,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_2d638eff6ae9,old,matua,adjective,having existed for a long time,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_71b0daa2d0ae,red,maragul,adjective,the color of blood,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_e7eb17163add,right,tama,adjective,correct,Your answer is right.,Tama ing pakibat mu.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_ff0301adbb16,sad,malungkut,adjective,feeling sorrow,The child is sad.,Malungkut ing anak.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_54db8e4f0cc8,short,makuyad,adjective,of little length,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_a83619b0575e,slow,mabagal,adjective,moving with little speed,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_1644f540a126,small,maliit,adjective,of little size,The room is small.,Maliit ing kwartu.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_86e3ab6df770,strong,mabaskug,adjective,having physical power,My father is strong.,Mabaskug ya ing ama ku.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
polyapi_13b32ab3e3cb,"talkative, garrulous",ablad,adjective,,He is a very talkative person.,Malalam ya ing tau.,api_example_pair,False,False,Polytranslator lookup API,https://www.polytranslator.com/api/dictionary/lookup,https://www.polytranslator.com/api/dictionary/lookup,api_enriched_seed_lexicon_for_pos_and_mt,low,needs_linguist_review
poly_a7e3968f15f7,true,tutuo,adjective,in accordance with fact,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_54f7fbec3057,weak,malambut,adjective,lacking physical power,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_6b11e439f199,white,maputi,adjective,the lightest color,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_85b753543297,wrong,mali,adjective,incorrect,That answer is wrong.,Mali ing pakibat a ita.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_2dc8a7fc3fe0,yellow,dilaw,adjective,the color of the sun,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_2d0e7cc7b7a5,young,batu,adjective,in the early stage of life,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_8d66476eeda0,how,makanyan pa'no,adverb,interrogative manner,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_c6c35d8e02c6,not,e,adverb,expressing negation,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_8a99128535fd,now,ngeni,adverb,at the present moment,Come here now.,Datang ka keni ngeni.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_0f9aa75fea56,today,ngeni,adverb,on this day,I am busy today.,Abala ku ngeni.,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_d2187510b093,tomorrow,bukas,adverb,on the next day,,,missing_pair,False,False,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,medium,needs_linguist_review
poly_26fc63c5ede8,when,kapilan,adverb,interrogative time,When will he come?,Kapilan ya datang?,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
poly_ef1b426bb497,where,nukarin,adverb,interrogative location,Where is your house?,Nukarin ing bale mu?,overlap_split,True,True,Polytranslator dictionary,https://www.polytranslator.com/dictionary/kapampangan/,https://www.polytranslator.com/dictionary/kapampangan-to-english/,clean_seed_lexicon_for_pos_and_mt,high,needs_linguist_review
