pair_id,confidence,match_basis,pam_source_domain,pam_prompt_ordinal,pam_text,fil_source_domain,fil_prompt_ordinal,fil_text,note
pldpair_001,high,exact_translation,Utt_Greetings.txt,11,Ipagpaumahin yu pu ing cacung pamagcamali.,Utt_Greetings.txt,1,Ipagpaumanhin po ninyo ang aking pagkakamali.,
pldpair_002,high,exact_translation,Utt_Greetings.txt,3,Tanggapan ye pu ing kecaming taus pusung pamipasalamat!,Utt_Greetings.txt,2,Tanggapin po ninyo ang aming taós pusong pasasalamat!,
pldpair_003,high,exact_translation,Utt_Greetings.txt,5,Maligayang Pascu pu at masaplalang bayung banua.,Utt_Greetings.txt,8,Maligayang Pasko po at manígong bagong taon.,
pldpair_004,high,exact_translation,Utt_Greetings.txt,13,Tanggapan ye pu ing cacung pamakirame.,Utt_Greetings.txt,9,Tanggapin mo ang aking pakikiramay.,"User review (2026-08-26): valid translation but carries a politeness-level mismatch -- PAM 'ye pu' is polite/plural register, FIL 'mo' is informal/singular."
pldpair_005,high,exact_translation,Utt_Greetings.txt,2,Catutula cu pu ing akilala da cayu.,Utt_Greetings.txt,11,Ikinagagalak ko po kayong makilala.,
pldpair_006,high,exact_translation,Utt_Greetings.txt,15,Maligayang puge king kecang pamamupus.,Utt_Greetings.txt,10,Maligayang bati sa iyong pagtatapos.,
pldpair_007,medium,cross_domain_exact,Utt_Greetings.txt,9,Anga keng pasibayung pamiikit.,Utt_CommonExpressions.txt,12,Magkita na lang po tayo sa susunod.,"PAM slot filed under Greetings, FIL counterpart filed under CommonExpressions -- domain boundaries are not consistent across the two languages' elicitation sessions."
pldpair_008,high,exact_translation,Utt_Salawikain.txt,1,Ing e biasang melikid king penibatan e ya miras king puntalan.,Utt_Salawikain.txt,10,Ang hindi marunong lumingon sa pinanggalingan ay hindi makararatíng sa paroroonan.,
pldpair_009,high,exact_translation,Utt_Salawikain.txt,11,"Acu ing mitanam, ing binayu at siniasat, saca niang melutu aliua ya ing mengan.",Utt_Salawikain.txt,8,"Ako ang nagbayo, ako ang nagsaing, saka ng maluto'y iba ang kumain.",
pldpair_010,high,exact_translation,Utt_Salawikain.txt,15,"King kecaban man ning prucicion, king pisamban mu rin malaus.",Utt_Salawikain.txt,7,"Pagkahaba-haba man ng prusisyon, sa simbahan din ang tuloy.",
pldpair_011,medium,conceptual_paraphrase,Utt_Salawikain.txt,3,"Ing matapat a caluguran, tune yang ayasaan.",Utt_Salawikain.txt,15,Ang tunay na kaibigan karamay kailan man.,"Same 'true friend' proverb theme; predicate differs (treasure vs. always-companion) so this is equivalent wisdom, not a literal word-for-word translation."
pldpair_012,high,exact_translation,Utt_Essay.txt,3,"Ing panakit da king pau metung yang macalunus, malati at alang male a bage, dapot maingat king capamaralan, migit yang calunusan kesa hangaan o igalang caya.",Utt_Essay.txt,12,"Ang tingin nila sa pagong ay isang kaawa-awa, maliit at walang malay na bagay, ngunit maingat sa pamamaraan, higit na kinaaawaan kaysa hangaan o igalang kaya.",
pldpair_013,high,exact_translation,Utt_Essay.txt,4,"Ing matsing caring aduang pabulang deti ginanap yang metung a papil, sakim, magaspang, maroc at mapag-iganti; ing king Japong mitmung kaki ya ing pun saging king Filipinas, saguling tumubu at mamunga kesa caring aliuang pun dutung.",Utt_Essay.txt,5,"Ang matsing sa dalawang pabulang ito'y gumaganap ng isang papel, masakim, magaspang, balakyot at mapaghiganti; ang sa Hapong puno ng kaki ay siyang punong saging sa Pilipinas, madaling tumubo at mamunga kaysa ibang mga punongkahoy.",
pldpair_014,high,exact_translation,Utt_StoryBernardo.txt,10,"Inyang miras king carelang beluan ing magbantang himagsican ding Filipino, lalu na inyang abalu dang I Bernardo yang apipisil da ban manimunu caniti, labis lang mebahala ding dayuhang Castila.",Utt_Story.txt,4,"Nang makarating sa kanilang kaalaman ang nagbabantang himagsikan ng mga Pilipino, lalu na nang mapag-alaman nilang si Bernardo ang napipisil na mamuno, ay labis na ikinabahala eto ng mga Kastila.",
pldpair_015,high,exact_translation_partial,Utt_StoryIputipot.txt,4,"Misan a bengi, maglacad ya I Iput-Ipot, (ing alitaptap) papunta king bale ning cayang caluguran. Iniang miparalan ya king tapat ng bale Amomo ngo (ing gorilya), kitnan ne niti: “Hoy, Iput-Ipot, obat pane cang ating dala-dalang sulu?” Mekibat ya I Iput-Ipot: “Uling tatacut ku king amuc.”",Utt_Story.txt,5,"""Hoy, Iput-Iput, bakit lagi kang may dala-dalang ilaw?"" Sumagot si Iput-Iput: "" Dahil natatakot ako sa mga lamok.""",PAM slot includes an extra lead-in narration sentence before the quoted dialogue; only the dialogue portion aligns 1:1 with the FIL slot.
