name,path,category,type_or_direction,quality_tier,native_speaker_reviewed,rights_license,provenance,feeds,live_rows,sha256_16,notes
native-authored story pairs,experiments/parallel_extraction_v2/data/story-pairs.csv,translation,PAM<->FIL sentence (connected narrative),gold_stories (native-authored),yes - written/translated by a native Kapampangan speaker (per the user),author is the user / their collaborator; usable for this research,supplied by the user 2026-09-01 as a sentence-by-sentence .md/PDF,"Phase 5 training (primary, use as-is)",174,1ada0005c09d4575,15 stories / 174 pairs; modern + cultural register the project otherwise lacks entirely
v1 PLD matched pairs,experiments/parallel_extraction_v1/reports/matched-pairs.csv,translation,PAM<->FIL sentence + word,gold (spot-checked),partial - user spot-check (user is not a native speaker),PLD archive; redistribution unresolved,manual close-reading alignment of the PLD elicitation lists,Phase 5 held-out test-set candidate,38,4ce6e1f461849618,26 sentence-level + ~12 Iso word-level; 1 pair removed after review
v1 external vocab pairs,experiments/parallel_extraction_v1/reports/external-vocab-pairs.csv,translation,PAM<->FIL vocabulary,silver (dictionary-verified),no,derived from an AI-generated file; verified vs Forman/Bergano/Samson,per-item check against 3 primary dictionaries,Phase 5 auxiliary,182,d9425decaf6578e2,word/short-phrase level; meaning still non-native-unverified
v2 verified pairs -- silver_a,experiments/parallel_extraction_v2/data/verified-pairs.csv,translation,PAM<->FIL sentence,silver (high),no - three NON-native passes only,PLD archive; redistribution unresolved,LaBSE+MNN sweep + user dict-alignment + Claude read-through,Phase 5 training (primary),716,aae0b8aeccfd798b,232 rows inside verified-pairs.csv (tier=silver_a)
v2 verified pairs -- silver_b,experiments/parallel_extraction_v2/data/verified-pairs.csv,translation,PAM<->FIL sentence,silver (medium),no - three NON-native passes only,PLD archive; redistribution unresolved,"same as silver_a, weaker similarity band",Phase 5 training (optional),716,aae0b8aeccfd798b,93 rows inside verified-pairs.csv (tier=silver_b)
v2 raw candidate pairs,experiments/parallel_extraction_v2/data/candidate-pairs.csv,translation,PAM<->FIL sentence,unverified candidates,no,PLD archive; redistribution unresolved,LaBSE + lexical sweep over the full distinct-sentence pools,superseded by verified-pairs.csv,849,269839bee7fc163f,849 rows; 314 mutual-best
Gemini sentence batch,experiments/parallel_extraction_v1/resources/gemini_kapampangan_sentence_batch.md,translation,PAM<->FIL sentence,silver (word-attested only),PENDING - out with an external reviewer,"AI-generated (Google/Gemini), pasted in chat; no source",mechanical word-attestation check only,not in training; fold in if the review returns usable,n/a,f7f9de15edfa6322,500 sentences; ~13% show un-adapted Tagalog
translation_gold_v1 triage,experiments/translation_gold_v1/reports/mt-pair-triage.csv,translation,PAM<->FIL,mostly rejected (10 correct of 250),no,PLD auto-match set; redistribution unresolved,0-3 rubric triage of the 250-row curated auto-match CSV,reference / audit only,250,9565ef031be7fbda,confirms the auto-matched set is not usable parallel data
curated MT seed (Polytranslator),../curated_research_dataset/kapampangan_mt_seed_curated.csv,translation,EN<->PAM sentence,silver (needs_linguist_review),no,polytranslator.com dictionary; scrape rights per site,seeded from the Polytranslator dictionary,Phase 5 auxiliary candidate (wrong language pair for the thesis),710,0bf6630e4de974e7,"710 rows; English target, not Filipino"
SMOL / GATITOS en_pam,(external) google/smol : gatitos/en_pam.jsonl,translation / lexicon,EN->PAM lexicon + short phrase,professional (external human),external professional vendor (not this project),CC-BY-4.0 (attribution) - cleanly usable,Google SMOL release; arXiv 2502.12301 / 2303.15265,Phase 5 auxiliary candidate; lexicon cross-check,see notes,,"3,993 entries; 93% single words; NOT yet copied into the repo"
morphology_gold_v1 dataset,experiments/morphology_gold_v1/resources/kapampangan_morph_annotated_dataset.csv,morphology,PAM word -> segmentation,silver,partial - 97 rows user-adjudicated (non-native),"external CSV, copied with provenance",4-signal mechanical triage + user adjudication of the F tier,Phase 3 (done),650,96a9326c72499a1d,650 rows; tiers A 220 / B 306 / C 26 / D 1 / F 97
tokenizer_selection_v1 morphology reference,experiments/tokenizer_selection_v1/data/reference-morphology.csv,morphology,PAM word -> boundary gold,silver + partial user adjudication,no,derived from morphology_gold_v1,Tier A/B silver + Tier F user verdicts; 50/50 root-disjoint split,Phase 3 tokenizer selection (done),534,e7e77fbad536ab45,534 rows (dev 272 / test 262)
v4 morphology index,experiments/expanded_morphology_v4/runs/segmentations/morphology-index.jsonl,morphology,PAM word -> morphemes,silver (rule-derived),no,derived from the preserved training inventory,"v4 recursive analyzer over 143,529 word types",MorphBPE training boundaries,13615,47f50e19d065efea,"13,615 accepted analyses; gitignored (under runs/)"
