pair_id,story_num,story_title,pam_text,fil_text
story_0001,1,Muli Ya i Sally,"""Muli ya ngeni i Sally!"" anang Ima.","""Uuwi na ngayon si Sally!"" sabi ni Ina."
story_0002,1,Muli Ya i Sally,Tinuki yang sinagana i Ben kari Tatang na at Ima.,Sinamahan ni Ben sa paghahanda sina Itay at Ina.
story_0003,1,Muli Ya i Sally,Melakwan ya king bale i Darang Rosa para magsadyang pamangan.,Pumunta sila sa bahay ni Darang Rosa para maghanda ng pagkain.
story_0004,1,Muli Ya i Sally,Paboritu nang Sally ing bibingka at sabo buku.,Paborito ni Sally ang bibingka at sabaw na buko.
story_0005,1,Muli Ya i Sally,"""Kasaya ko,"" anang Ben.","""Ang saya ko,"" sabi ni Ben."
story_0006,1,Muli Ya i Sally,"""Malambat ne murin e makauli i atsi king obra na.","""Matagal na siyang hindi umuuwi dahil sa trabaho niya, ang ate ko."
story_0007,1,Muli Ya i Sally,"Nanu kaya ing pasalubung na kanaku?"" anang sinabi.","Ano kaya ang pasalubong niya sa akin?"" sabi niya."
story_0008,1,Muli Ya i Sally,"""Karakal da nang bus a dinatang.","""Marami nang bus ang dumating."
story_0009,1,Muli Ya i Sally,"Bakit alayupa i Sally?"" kutang ng Tatang.","Bakit hindi pa dumarating si Sally?"" tanong ni Itay."
story_0010,1,Muli Ya i Sally,"""Malapit neng dalumdum ing aldo.","""Malapit nang dumilim."
story_0011,1,Muli Ya i Sally,Panayan taya ing tutuking bus.,Hintayin natin ang susunod na bus.
story_0012,1,Muli Ya i Sally,"Pot atyu ne karin, migaganakang sabi ng Ima.","Basta dumating na siya, masaya na tayo,"" sabi ni Ina."
story_0013,1,Muli Ya i Sally,Minum ya king boti nang danum i Ben bayu ya megsalita.,Uminom ng tubig sa bote si Ben bago siya nagsalita.
story_0014,1,Muli Ya i Sally,Migaganaka yamu naman.,Masaya rin sila.
story_0015,1,Muli Ya i Sally,"""Datang ne pu kanyan i atsi,"" anang Ben kang Ima na.","""Dumating na po siguro ang ate,"" sabi ni Ben kay Ina."
story_0016,1,Muli Ya i Sally,"""Oyni na ing bus, yapin na ing talwing dating ini.","""Nandito na ang bus, ito na ang ika-tatlumpung dumating."
story_0017,1,Muli Ya i Sally,"Atyu ne sana keni i Sally,"" sabi nang Tatang.","Baka nandito na si Sally,"" sabi ni Itay."
story_0018,1,Muli Ya i Sally,Kabuklat ning pasbul ning bus mabilis yang tinipa i Sally.,"Nang mabuksan ang pinto ng bus, mabilis na sumugod si Sally."
story_0019,1,Muli Ya i Sally,Masaya nalang pengawul ding pamilya na.,Masaya ang pagsalubong ng kanyang pamilya.
story_0020,1,Muli Ya i Sally,"""Ima, Tatang, salamat namu at miras naku,"" anang sinabi.","""Ina, Itay, salamat at nakauwi ako,"" sabi niya."
story_0021,1,Muli Ya i Sally,"""Migaganaka kami keka,"" sabi nang tatang.","""Masaya kami para sa'yo,"" sabi ni Itay."
story_0022,1,Muli Ya i Sally,"""Tara na bale manaya ing paborito mung pamangan,"" sabi ng Ima.","""Halika na sa bahay, ihahanda natin ang paborito mong pagkain,"" sabi ni Ina."
story_0023,1,Muli Ya i Sally,Sinopan deng memwat di Ben at Tatang I atsi na.,Sina Ben at Itay ang bumuhat ng bagahe ng kanyang ate.
story_0024,2,Ing Panabilin kang Roy,Minta ya king tindaan i Roy.,Pumunta si Roy sa tindahan.
story_0025,2,Ing Panabilin kang Roy,Sali yang asin para king lulutu nang Ima na.,Bibili siya ng asin para sa niluluto ng kanyang Ina.
story_0026,2,Ing Panabilin kang Roy,Ikit ne king tindaan i Cris.,Nakita niya sa tindahan si Cris.
story_0027,2,Ing Panabilin kang Roy,Pepakit ne kang Cris ing bayu nang piyalungang robot.,Ipinakita ni Cris kay Roy ang bago niyang laruang robot.
story_0028,2,Ing Panabilin kang Roy,Melibang ya king piyalungan i Roy.,Naaliw si Roy sa laruan.
story_0029,2,Ing Panabilin kang Roy,Mebigla ya anyang kutnan neng Aling Belen.,Nagulat siya nang tanungin siya ni Aling Belen.
story_0030,2,Ing Panabilin kang Roy,"""Nanu ing salwan mu?""","""Ano ang bibilhin mo?"""
story_0031,2,Ing Panabilin kang Roy,E mekapakibat i Roy.,Hindi agad nakasagot si Roy.
story_0032,2,Ing Panabilin kang Roy,Akalingwan na ing sasalwan na.,Nakalimutan niya kung ano ang bibilhin niya.
story_0033,2,Ing Panabilin kang Roy,Kitnan neng Aling Belen nung nanu ing gagawan ng Ima na.,Tinanong siya ni Aling Belen kung ano ang ginagawa ng kanyang Ina.
story_0034,2,Ing Panabilin kang Roy,"Mayli nang pekibat Roy, ""Maglutu yapo. Sali ke pong asin.""","Naalala ni Roy at sumagot, ""Nagluluto po siya. Bibili po ako ng asin."""
story_0035,2,Ing Panabilin kang Roy,Pepasalamat ya i Roy kang Aling Belen uling ikwa nang aganaka ing dapat nang salwan.,Nagpasalamat si Roy kay Aling Belen dahil natulungan siya na maalala kung ano talaga ang dapat niyang bilhin.
story_0036,3,Anting Palis Tingting,Pemawas nala sangang Tatang ding tanaman.,Pinutol ni Itay ang mga sanga ng puno.
story_0037,3,Anting Palis Tingting,Kakuldas na piglako na la bulung ding sangang pemutut na.,Nadumihan ang paligid ng mga dahon ng mga sangang pinutol niya.
story_0038,3,Anting Palis Tingting,Mitambak ing dakal a bulung.,Natambak ang maraming dahon.
story_0039,3,Anting Palis Tingting,"""Marita, Eddie sopan yu kaming Ima yu,"" anang tatang.","""Marita, Eddie, tulungan ninyo ang inyong Ina,"" sabi ni Itay."
story_0040,3,Anting Palis Tingting,"""Dapat tamung ayaring linisan ini ngeni.","""Dapat na natin itong linisin ngayon."
story_0041,3,Anting Palis Tingting,Lunis na bukas.,Lunes na bukas.
story_0042,3,Anting Palis Tingting,"Magaral kayu at aku magobra ku,"" anang sinabi.","Mag-aaral kayo at magtatrabaho ako,"" sabi niya."
story_0043,3,Anting Palis Tingting,Mabilis lang sinawup.,Mabilis silang nagtulungan.
story_0044,3,Anting Palis Tingting,Memalis ya i Marita.,Nagwalis si Marita.
story_0045,3,Anting Palis Tingting,Tinipun ng Ima ing bulung.,Tinipon ng Ina ang mga dahon.
story_0046,3,Anting Palis Tingting,Menyaluk neman bulung at sukal i Eddie.,Naghakot naman ng dahon at sanga si Eddie.
story_0047,3,Anting Palis Tingting,Binwat ng Tatang ing atipun dang sukal at bulung.,Binuhat ni Itay ang tinipong sanga at dahon.
story_0048,3,Anting Palis Tingting,Inugse na ini king kulkul.,Inilagay niya ito sa basurahan.
story_0049,3,Anting Palis Tingting,"""Lawen yu na, istung sawup-sawup tamu agad mayayari ing obra,"" anang Tatang.","""Tingnan ninyo, kung magtutulungan tayo, agad matatapos ang trabaho,"" sabi ni Itay."
story_0050,3,Anting Palis Tingting,Kinwa ne ing palis tingting.,Kinuha niya ang walis tingting.
story_0051,3,Anting Palis Tingting,"""Lawen ye ining palis.","""Tingnan ninyo ang walis na ito."
story_0052,3,Anting Palis Tingting,Nung ing metung mung tingting ing gamitan siguradung eya agad mayari ing obra.,"Kung isang tingting lang ang gagamitin, tiyak na hindi ito agad makakapaglinis."
story_0053,3,Anting Palis Tingting,"Pero nung piyabe-abe la atitaling matigik ring tingting siguradung mayari agad ing obra.""","Pero kung pinagsama-sama at itinali ang maraming tingting, tiyak na madaling matatapos ang gawain."""
story_0054,3,Anting Palis Tingting,"""Anti tamu naman palis tingting,"" anang Ima.","""Tulad tayo ng walis tingting,"" sabi ni Ina."
story_0055,3,Anting Palis Tingting,"""Uling misaup-saup tamu, agad meyari ing kekatamung gagawan a obra.""","""Dahil nagtutulungan tayo, agad natatapos ang gawaing kailangan nating gawin."""
story_0056,4,I Anette Mapamyalung,"""Anette..Anette.. Aneeeeete!"" gulisak ng Aling Sion.","""Anette... Anette... Aneeeeete!"" sigaw ni Aling Sion."
story_0057,4,I Anette Mapamyalung,Alus buung Baranggay Virgen Delos Remedios daramdaman de.,Halos maririnig siya sa buong Baranggay Virgen Delos Remedios.
story_0058,4,I Anette Mapamyalung,Pero anggang anino na mung Anette ala yang ikit.,Pero kahit anino man lang ni Anette ay wala siyang nakita.
story_0059,4,I Anette Mapamyalung,"""Nukarin ne naman kaya minta ing anak kung ini,"" anag sinabi.","""Saan naman kaya pumunta ang anak ko?"" sabi niya."
story_0060,4,I Anette Mapamyalung,Parati na mung anti kanini ing malilyari.,Palagi na lamang ganito ang nangyayari.
story_0061,4,I Anette Mapamyalung,Apanugalyan ng Anette ing mamyalung anggang sisilim.,Sanay na si Anette na maglaro hanggang gumabi.
story_0062,4,I Anette Mapamyalung,Ali ya muli anggang ali la minuli ding kayang kakyalung.,Hindi siya umuuwi hanggang hindi umuuwi ang kanyang mga kalarong kaibigan.
story_0063,4,I Anette Mapamyalung,Ing pamamyalung yang sikasu na.,Ang paglalaro ang una niyang inaalala.
story_0064,4,I Anette Mapamyalung,"Anggang ali ya mangan, mamyalung ya sana.","Hanggang hindi siya kumakain, maglalaro pa rin siya."
story_0065,4,I Anette Mapamyalung,Atin pang pamitagun na pati pamandilu akalingwan na.,"May mga gawain pa siyang dapat gawin, pati na ang paghuhugas ng kamay na nakalimutan na niya."
story_0066,4,I Anette Mapamyalung,"""Ima mangan tana po. Danupan nakung danupan,"" anang megmakalunus Anette kang Ima na at diniretsu yang minta king lamesa.","""Ina, kakain na po tayo. Gutom na gutom na po ako,"" sabi ng pagod na si Anette sa kanyang Ina habang dumederetso siya sa hapag-kainan."
story_0067,4,I Anette Mapamyalung,"""Saguli,"" anang ima na.","""Sandali,"" sabi ng kanyang Ina."
story_0068,4,I Anette Mapamyalung,"""Wasan mula pa ding gamat mu, sobra la karinat,"" anang Ima na.","""Marumi pa ang iyong mga kamay, napakadumi nila,"" sabi ng kanyang Ina."
story_0069,4,I Anette Mapamyalung,Pero aline pekiramdaman i Ima na at mengan yang marinat gamat.,Pero hindi pinansin ito ni Anette at kumain siya na may maruming kamay.
story_0070,4,I Anette Mapamyalung,"Kaybat nang mengan, linwal ne naman para mamyalung anggang disoras na at penintun na la pa ding kayang kakyalung.","Pagkatapos kumain, lumabas na naman siya para maglaro hanggang sa oras na, at hinanap niya ang kanyang mga kalarong kaibigan."
story_0071,4,I Anette Mapamyalung,"Kaybat na nita, minuli yang kikyak i Anette, ""Ima, ana, sobra ya kasakit ing kakung atyan.""","Pagkatapos noon, umuwi si Anette na umiiyak, ""Ina, ang sakit ng tiyan ko."""
story_0072,4,I Anette Mapamyalung,"""King malumane boses, anang Ima na kaya,"" Yan ing maralas kung sasabyan keka.","Sa mahinang tinig, sinabi sa kanya ng kanyang Ina, ""Iyan ang madalas kong sinasabi sa iyo."
story_0073,4,I Anette Mapamyalung,Ali ka maglakto keng pamamangan.,Huwag kang magpabaya sa pagkain.
story_0074,4,I Anette Mapamyalung,Kaylangan mula ring linisan ding gamat mu bayu mangan at kaylangan ding paynawa ka.,"Kailangan mong linisin ang iyong mga kamay bago kumain, at kailangan mong magpahinga."""
story_0075,5,"Reduce, Reuse, Recycle","King kerakalan da ring klasi king Delos Remedios Elementary School, ing Grade III Seksyun I yang pasibayung miparangalang, ""Most Environment Friendly"" a klasi ngening banwang ini.","Sa lahat ng klase sa Delos Remedios Elementary School, ang Grade III Seksyon 1 ang muling nagwagi bilang ""Most Environment Friendly"" na klase ngayong taon."
story_0076,5,"Reduce, Reuse, Recycle","Anyakitnan da la ring karelang sikretu nung bakit ila parati ing manyambut kilub ning tuki-tuking limang banwa, pelino de ing karelang paralan.","Ibinunyag nila ang kanilang sikreto kung bakit sila palaging nananalo sa loob ng limang magkakasunod na taon, at ibinahagi nila ang kanilang paraan."
story_0077,5,"Reduce, Reuse, Recycle","I Gng. Manipon, ing karelang mestra, sinabi nang patupad na king kayang klasi ing, ""Ibulsa ing Sariling Basura"" kilub ning pabanwa, susubay-bayan na la ring anak king kayang klasi anggang medisiplina la.","Sinabi ni Gng. Manipon, ang kanilang guro, na ipinapatupad niya sa kanyang klase ang ""Ibulsa ang Sariling Basura"" sa buong taon, at sinusubaybayan niya ang mga bata sa kanyang klase hanggang sila ay maging disiplinado."
story_0078,5,"Reduce, Reuse, Recycle",Pagawa na rin ini kareng karelang pibale-bale.,Ginagawa rin nila ito sa kani-kanilang mga bahay.
story_0079,5,"Reduce, Reuse, Recycle","Ngenim banwang ini, ing pekamaragul dang proyektu iyapin ing ""Gamitan Pasibayu ing Bage Megamit"".","Ngayong taon, ang pinakamalaking proyekto nila ay ang ""Muling Gamitin ang mga Nagamit na Bagay."""
