surface,process,tier,silver_gold,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080
kabukasan,"(flagship, no ref gold)",(custom),kabukasan,kab+u+kasan,kabu+kasan,kabukasan,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an,ka+bukas+an
magpakalma,"(flagship, no ref gold)",(custom),magpakalma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,magpa+kal+ma,magpa+kalma,magpa+kalma,mag+pakal+ma,mag+pakal+ma,mag+pakal+ma,magpa+kal+ma
mekipagapir,"(flagship, no ref gold)",(custom),mekipagapir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,mek+ipag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+pag+ap+ir,meki+paga+pi+r,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pir,meki+paga+pi+r,meki+paga+pi+r,meki+paga+pir,meki+pag+api+r
misamban,"(flagship, no ref gold)",(custom),misamban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mis+amban,mis+amban,mis+amban,mi+sam+ban,mi+sam+ban,mi+sam+ban,mi+samban
pemalagyu,"(flagship, no ref gold)",(custom),pemalagyu,pem+alag+yu,pem+alag+yu,pem+alagyu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pem+alag+yu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pema+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu,pe+ma+lagyu
sumulat,"(flagship, no ref gold)",(custom),sumulat,sum+ulat,sum+ulat,sumulat,sum+ulat,sum+ulat,sum+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,s+um+ulat,su+mu+lat,sumu+lat,sumu+lat,su+mu+lat,su+mu+lat,sumu+lat,su+mu+lat,sumu+lat,sumu+lat,sumul+at
pabustan,circumfixation,B_moderate_silver,pa+bust+an,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan,pabustan
kaluguran,circumfixation,B_moderate_silver,ka+lugur+an,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran,kaluguran
kailangan,circumfixation,A_strong_silver,ka+ilang+an,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan,kailangan
kapulungan,circumfixation,B_moderate_silver,ka+pulung+an,kap+ulungan,kap+ulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulungan,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulung+an,kapulungan,kapulungan,kap+ulungan,kap+ulungan,kapulungan,kapulungan
