candidate_id,form,claim,proposed_disposition,status,confidence,source_ids,pdf_pages,printed_pages,extraction_methods,evidence_summary,conflict_or_risk
ocr-001,bukas,Kapampangan time word meaning tomorrow,add_as_provisional_root_after_human_approval,pending_adjudication,high,kapampangan-trilingual-lexicon;forman-grammar-notes;mirikitani-speaking-kapampangan,12;57;263,not_shown;46;223,embedded_text_plus_visual_check,Three independent sources identify bukas or accented búkas as tomorrow.,Adding it changes the training lexicon fingerprint and requires a controlled rebuild.
ocr-002,bucas,Historical spelling corresponding to modern bukas,retain_targeted_variant_evidence_and_review_bucas_to_bukas_mapping,pending_adjudication,high,samson-dictionary;bergano-vocabulario-samson;bayung-ortograpiyang-kapampangan,131;116;10,131;89;10,embedded_text_plus_visual_check,Two dictionary editions give BUCAS as tomorrow while the modern orthography explains that native Kapampangan uses K rather than inherited Spanish C or Q.,This supports the specific pair but not an unrestricted global C-to-K rewrite.
ocr-003,datang,Kapampangan root meaning come or arrive,keep_existing_operational_root,evidence_confirmed,high,samson-dictionary;mirikitani-speaking-kapampangan;kapampangan-trilingual-lexicon;bergano-vocabulario-samson,243;160;26;177,243;120;not_shown;150,embedded_text_plus_visual_check,Independent dictionary and teaching sources give datang as a verb meaning come or arrive.,No new segmentation boundary is justified because datang is the root itself.
ocr-004,pangulo,Attested in one proposed Kapampangan example sentence,retain_as_nonoperational_loan_or_variant_candidate,pending_native_speaker_review,low,comparative-kapampangan-paper,5,not_shown,embedded_text_plus_visual_check,The exact sentence Bukas na datang ing pangulo appears in the Kapampangan side of a comparative paper.,The source conflicts with stronger instructional evidence and does not establish a morpheme boundary.
ocr-005,pangulo,Filipino equivalent rather than the listed Kapampangan headword,do_not_add_as_kapampangan_root_from_this_source,conflicting_evidence,high,kapampangan-trilingual-lexicon,37;45,not_shown;not_shown,embedded_text_plus_visual_check,The Kapampangan entries are pamuntuk and presidenti while pangulo occurs in the Filipino column.,The trilingual list is unattributed and should support but not solely decide adjudication.
ocr-006,presidente,Kapampangan instructional and orthographic form for president,prefer_as_sentence_revision_candidate_not_an_automatic_rewrite,pending_adjudication,high,mirikitani-speaking-kapampangan;forman-grammar-notes;bayung-ortograpiyang-kapampangan,96;45;48,56;34;48,embedded_text_plus_visual_check,Grammar teaching and orthography sources use presidente or accented presidénti for president.,Changing source text would be normalization or translation editing rather than morphological segmentation.
ocr-007,pamuntuk,Kapampangan lexical item used for a head or leader and glossed chairman or president,keep_existing_operational_root,evidence_confirmed,high,kapampangan-trilingual-lexicon;bayung-ortograpiyang-kapampangan,37;110,not_shown;110,embedded_text_plus_visual_check,The trilingual list gives pamuntuk as chairman or president and the orthography history uses Pamuntuk contextually for a former head.,Its exact equivalence to a national president in every register remains a translation choice.
ocr-008,"Bukas na datang ing pangulo.",Exact sentence attestation,retain_as_source_evidence_not_gold_segmentation,pending_adjudication,medium,comparative-kapampangan-paper,5,not_shown,embedded_text_plus_visual_check,The sentence is visibly present and the embedded text matches the rendered page.,A source example is not by itself a gold morpheme analysis and pangulo remains disputed.
ocr-009,pangulu,Kapampangan root meaning north,keep_existing_operational_root_and_do_not_conflate_with_pangulo,evidence_confirmed,high,kapampangan-trilingual-lexicon;bayung-ortograpiyang-kapampangan,39;16;20,not_shown;16;20,embedded_text_plus_visual_check,Independent modern sources use pangulu for the northern direction.,The one-vowel difference from pangulo is semantically material and is not evidence for a spelling rewrite.
ocr-010,na,Standalone syntactic enclitic with multiple homophonous functions,retain_contextual_clitic_evidence_and_review_diagnostic_label,pending_implementation_review,high,richards-case-grammar,47;48,27;28,windows_ocr_en-US_plus_visual_check,Richards describes time-particle na and pa as enclitics and distinguishes time na from request na and third-person singular agentive na.,The current per-pretoken diagnostic labels standalone na as a protected root and cannot contextually disambiguate these homophones.
ocr-011,na + ya -> ne,Morphophonemic fusion of two clitic or agreement forms,retain_as_nonoperational_fusion_evidence,pending_adjudication,high,richards-case-grammar,48,28,windows_ocr_en-US_plus_visual_check,Richards explicitly lists na plus ya yielding ne alongside ku plus ya yielding ke and mu plus ya yielding me.,The paper inventory treats ne as an atomic clitic and changing that contract would require method reconciliation and retraining.
ocr-012,pag-...-an / paN-...-an,Documented co-occurring formative prefix and suffix patterns,retain_as_nonoperational_morphology_evidence,paper_inventory_conflict,high,richards-case-grammar,100,80,windows_ocr_en-US_plus_visual_check,Richards describes pag- or paN- with -an occurring around a verb root.,The thesis implementation intentionally permits only its paper-declared affix inventory so this cannot be added silently.
